seqnames,start,end,peak,cell_type,peak_access,gene,gene_score,gene_cell_type_rank,gene_name,common_name,og,pfam,gene_list,min_gene_score_in_selected_cell_types
NC_064036.1,8155462,8155712,peak23841,muscle_tentacle_retractor,19.0413631102335,Nvec_vc1.1_XM_032380541.2,1.5547970910164,1,"","","",LIM/LIM/LIM,"",1.34436018346499
NC_064036.1,8156208,8156457,peak23843,muscle_tentacle_retractor,4.32359399468918,Nvec_vc1.1_XM_032380541.2,1.5547970910164,1,"","","",LIM/LIM/LIM,"",1.34436018346499
NC_064036.1,8156731,8156980,peak23844,muscle_tentacle_retractor,11.7524511472731,Nvec_vc1.1_XM_032380541.2,1.5547970910164,1,"","","",LIM/LIM/LIM,"",1.34436018346499
NC_064034.1,5429185,5429435,peak2385,muscle_tentacle_retractor,8.87302546469667,Nvec_vc1.1_XM_032379847.2,3.47362535677397,5,"","","","","",2.60302794375455
NC_064034.1,5430230,5430480,peak2386,muscle_tentacle_retractor,16.1174082521958,Nvec_vc1.1_XM_001631077.3,1.36916578929504,2,"","","",Ion_trans,"",1.36916578929504
NC_064034.1,5430230,5430480,peak2386,muscle_tentacle_retractor,16.1174082521958,Nvec_vc1.1_XM_032379847.2,3.47362535677397,5,"","","","","",2.60302794375455
NC_064036.1,8211089,8211339,peak23873,muscle_tentacle_retractor,13.0229284401171,Nvec_vc1.1_XM_048724645.1,1.34885309157255,11,"","","","","",1.34885309157255
NC_064036.1,8211089,8211339,peak23873,muscle_tentacle_retractor,13.0229284401171,Nvec_vc1.1_XM_048724645.1,1.34885309157255,11,"","","","","",1.34885309157255
NC_064036.1,8211089,8211339,peak23873,muscle_tentacle_retractor,13.0229284401171,Nvec_vc1.1_XM_048724645.1,1.34885309157255,11,"","","","","",1.34885309157255
NC_064036.1,8212175,8212425,peak23875,muscle_tentacle_retractor,5.99409341594607,Nvec_vc1.1_XM_048724645.1,1.34885309157255,11,"","","","","",1.34885309157255
NC_064036.1,8212175,8212425,peak23875,muscle_tentacle_retractor,5.99409341594607,Nvec_vc1.1_XM_048724645.1,1.34885309157255,11,"","","","","",1.34885309157255
NC_064036.1,8212175,8212425,peak23875,muscle_tentacle_retractor,5.99409341594607,Nvec_vc1.1_XM_048724645.1,1.34885309157255,11,"","","","","",1.34885309157255
NC_064036.1,9082579,9082829,peak24216,muscle_tentacle_retractor,45.7120838156193,Nvec_vc1.1_XM_001632404.3,3.05332793571375,2,"","","",PAN_1/Fibrinogen_C,"",3.05332793571375
NC_064036.1,9085648,9085898,peak24220,muscle_tentacle_retractor,18.3209385851433,Nvec_vc1.1_XM_001632404.3,3.05332793571375,2,"","","",PAN_1/Fibrinogen_C,"",3.05332793571375
NC_064036.1,9085648,9085898,peak24220,muscle_tentacle_retractor,18.3209385851433,Nvec_vc1.1_XM_001632404.3,3.05332793571375,2,"","","",PAN_1/Fibrinogen_C,"",3.05332793571375
NC_064036.1,9306494,9306744,peak24306,muscle_tentacle_retractor,9.55564444747055,Nvec_vc1.1_XM_001633480.3,1.57201801250374,2,Coro2a/Coro2b,"","",DUF1899/WD40/WD40/WD40_4,"",1.57201801250374
NC_064036.1,9309157,9309407,peak24310,muscle_tentacle_retractor,13.7128412882141,Nvec_vc1.1_XM_001633480.3,1.57201801250374,2,Coro2a/Coro2b,"","",DUF1899/WD40/WD40/WD40_4,"",1.57201801250374
NC_064036.1,9309157,9309407,peak24310,muscle_tentacle_retractor,13.7128412882141,Nvec_vc1.1_XM_001633480.3,1.57201801250374,2,Coro2a/Coro2b,"","",DUF1899/WD40/WD40/WD40_4,"",1.57201801250374
NC_064036.1,9309687,9309937,peak24311,muscle_tentacle_retractor,15.4068393817662,Nvec_vc1.1_XM_001633480.3,1.57201801250374,2,Coro2a/Coro2b,"","",DUF1899/WD40/WD40/WD40_4,"",1.57201801250374
NC_064036.1,9309687,9309937,peak24311,muscle_tentacle_retractor,15.4068393817662,Nvec_vc1.1_XM_001633480.3,1.57201801250374,2,Coro2a/Coro2b,"","",DUF1899/WD40/WD40/WD40_4,"",1.57201801250374
NC_064034.1,5524874,5525124,peak2440,muscle_tentacle_retractor,11.7369697691836,Nvec_vc1.1_XM_032379868.2,2.70922105817016,5,"","","",Trypsin,"",2.70922105817016
NC_064034.1,5524874,5525124,peak2440,muscle_tentacle_retractor,11.7369697691836,Nvec_vc1.1_XM_032379868.2,2.70922105817016,5,"","","",Trypsin,"",2.70922105817016
NC_064036.1,9567743,9567993,peak24435,muscle_tentacle_retractor,12.624736161231,Nvec_vc1.1_XM_048725190.1,1.27125310906554,3,Plekhm2,"","",RUN/PH,"",1.27125310906554
NC_064036.1,9728580,9728830,peak24536,muscle_tentacle_retractor,8.32628344794716,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9728580,9728830,peak24536,muscle_tentacle_retractor,8.32628344794716,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729209,9729459,peak24537,muscle_tentacle_retractor,11.213351943896,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729209,9729459,peak24537,muscle_tentacle_retractor,11.213351943896,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729209,9729459,peak24537,muscle_tentacle_retractor,11.213351943896,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729209,9729459,peak24537,muscle_tentacle_retractor,11.213351943896,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729209,9729459,peak24537,muscle_tentacle_retractor,11.213351943896,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729209,9729459,peak24537,muscle_tentacle_retractor,11.213351943896,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729209,9729459,peak24537,muscle_tentacle_retractor,11.213351943896,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729209,9729459,peak24537,muscle_tentacle_retractor,11.213351943896,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729489,9729739,peak24538,muscle_tentacle_retractor,15.2903077551576,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729489,9729739,peak24538,muscle_tentacle_retractor,15.2903077551576,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729489,9729739,peak24538,muscle_tentacle_retractor,15.2903077551576,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729489,9729739,peak24538,muscle_tentacle_retractor,15.2903077551576,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729489,9729739,peak24538,muscle_tentacle_retractor,15.2903077551576,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9729489,9729739,peak24538,muscle_tentacle_retractor,15.2903077551576,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9730884,9731134,peak24542,muscle_tentacle_retractor,19.1293490842241,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9732011,9732261,peak24545,muscle_tentacle_retractor,21.0342820181113,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9732011,9732261,peak24545,muscle_tentacle_retractor,21.0342820181113,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9732011,9732261,peak24545,muscle_tentacle_retractor,21.0342820181113,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9732011,9732261,peak24545,muscle_tentacle_retractor,21.0342820181113,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9734285,9734535,peak24550,muscle_tentacle_retractor,19.1028800980459,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9734597,9734847,peak24551,muscle_tentacle_retractor,30.0629553346497,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,9735459,9735709,peak24553,muscle_tentacle_retractor,22.2838054061415,Nvec_vc1.1_XM_032382763.2,1.56594689869495,4,Spsb4/Spsb1,"","",SPRY/SOCS_box,"",1.34215006969577
NC_064036.1,10852637,10852887,peak25182,muscle_tentacle_retractor,9.11952747327569,Nvec_vc1.1_XM_032365024.2,2.63994271269865,1,Dtna/Dtnb,"","",EF-hand_2/EF-hand_3/ZZ,"",2.0138028416026
NC_064036.1,10859048,10859298,peak25191,muscle_tentacle_retractor,9.08142404847825,Nvec_vc1.1_XM_032365024.2,2.63994271269865,1,Dtna/Dtnb,"","",EF-hand_2/EF-hand_3/ZZ,"",2.0138028416026
NC_064036.1,10865549,10865799,peak25199,muscle_tentacle_retractor,12.3141723973582,Nvec_vc1.1_XM_032365024.2,2.63994271269865,1,Dtna/Dtnb,"","",EF-hand_2/EF-hand_3/ZZ,"",2.0138028416026
NC_064036.1,10865549,10865799,peak25199,muscle_tentacle_retractor,12.3141723973582,Nvec_vc1.1_XM_032365024.2,2.63994271269865,1,Dtna/Dtnb,"","",EF-hand_2/EF-hand_3/ZZ,"",2.0138028416026
NC_064036.1,10872488,10872738,peak25202,muscle_tentacle_retractor,9.21434772247566,Nvec_vc1.1_XM_032365024.2,2.63994271269865,1,Dtna/Dtnb,"","",EF-hand_2/EF-hand_3/ZZ,"",2.0138028416026
NC_064036.1,10872941,10873191,peak25203,muscle_tentacle_retractor,11.7542129093756,Nvec_vc1.1_XM_032365024.2,2.63994271269865,1,Dtna/Dtnb,"","",EF-hand_2/EF-hand_3/ZZ,"",2.0138028416026
NC_064036.1,10873635,10873885,peak25204,muscle_tentacle_retractor,47.7801031524477,Nvec_vc1.1_XM_032365024.2,2.63994271269865,1,Dtna/Dtnb,"","",EF-hand_2/EF-hand_3/ZZ,"",2.0138028416026
NC_064036.1,10874579,10874829,peak25206,muscle_tentacle_retractor,15.5197113093212,Nvec_vc1.1_XM_032365024.2,2.63994271269865,1,Dtna/Dtnb,"","",EF-hand_2/EF-hand_3/ZZ,"",2.0138028416026
NC_064036.1,10914029,10914279,peak25235,muscle_tentacle_retractor,12.546342003132,Nvec_v1g198603,6.67517982761024,1,"","","","","",6.11992255292123
NC_064036.1,10916133,10916383,peak25240,muscle_tentacle_retractor,13.2811414856676,Nvec_v1g198603,6.67517982761024,1,"","","","","",6.11992255292123
NC_064036.1,10916133,10916383,peak25240,muscle_tentacle_retractor,13.2811414856676,Nvec_vc1.1_XM_032364984.2,4.62718625587699,2,Oaz1/Oaz3/Oaz2,"","",ODC_AZ,"",4.62718625587699
NC_064036.1,11339647,11339897,peak25483,muscle_tentacle_retractor,17.5422652686049,Nvec_NVE1250,5.32099388855342,1,"","","","","",2.38913475643525
NC_064036.1,11340078,11340328,peak25484,muscle_tentacle_retractor,45.5593892558045,Nvec_NVE1250,5.32099388855342,1,"","","","","",2.38913475643525
NC_064036.1,11340758,11341008,peak25486,muscle_tentacle_retractor,9.189385170559,Nvec_NVE1250,5.32099388855342,1,"","","","","",2.38913475643525
NC_064036.1,11366680,11366930,peak25503,muscle_tentacle_retractor,46.2175563423436,Nvec_vc1.1_XM_001639874.3,4.40818530601768,2,"","","",BTB_2/Ion_trans,"",4.40818530601768
NC_064036.1,11367169,11367419,peak25504,muscle_tentacle_retractor,16.0441036290597,Nvec_vc1.1_XM_001639874.3,4.40818530601768,2,"","","",BTB_2/Ion_trans,"",4.40818530601768
NC_064036.1,11367626,11367876,peak25505,muscle_tentacle_retractor,22.0629383127936,Nvec_vc1.1_XM_001639874.3,4.40818530601768,2,"","","",BTB_2/Ion_trans,"",4.40818530601768
NC_064036.1,11369669,11369919,peak25507,muscle_tentacle_retractor,19.9627391570777,Nvec_vc1.1_XM_001639874.3,4.40818530601768,2,"","","",BTB_2/Ion_trans,"",4.40818530601768
NC_064036.1,11892979,11893229,peak25719,muscle_tentacle_retractor,27.6051525158303,Nvec_vc1.1_XM_001639881.3,1.29810907894708,2,Glce,"","",C5-epim_C,"",1.27449743550634
NC_064036.1,11892979,11893229,peak25719,muscle_tentacle_retractor,27.6051525158303,Nvec_vc1.1_XM_001639881.3,1.29810907894708,2,Glce,"","",C5-epim_C,"",1.27449743550634
NC_064036.1,11909846,11910096,peak25736,muscle_tentacle_retractor,11.3077381357663,Nvec_vc1.1_XM_001639883.3,1.23904158219782,6,Mitd1,"","",MIT/MIT_C,"",1.23904158219782
NC_064034.1,5832873,5833123,peak2596,muscle_tentacle_retractor,11.2511745080684,Nvec_vc1.1_XM_048723358.1,2.85720881957715,2,Cacna1d/Cacna1c/Cacna1f/Cacna1s,"","",Ion_trans/Ion_trans/Ion_trans/Ion_trans/GPHH/Ca_chan_IQ,"",2.85720881957715
NC_064034.1,5876530,5876780,peak2611,muscle_tentacle_retractor,6.36760400354055,Nvec_vc1.1_XM_001639002.3,1.23154443613901,3,"","","",Myb_DNA-bind_4,"",1.23154443613901
NC_064034.1,5876530,5876780,peak2611,muscle_tentacle_retractor,6.36760400354055,Nvec_vc1.1_XM_001639002.3,1.23154443613901,3,"","","",Myb_DNA-bind_4,"",1.23154443613901
NC_064034.1,5876530,5876780,peak2611,muscle_tentacle_retractor,6.36760400354055,Nvec_vc1.1_XM_001639002.3,1.23154443613901,3,"","","",Myb_DNA-bind_4,"",1.23154443613901
NC_064036.1,12709910,12710160,peak26161,muscle_tentacle_retractor,11.8908047933547,Nvec_vc1.1_XM_032363561.2,1.28071280333726,4,"","","","","",1.28071280333726
NC_064036.1,12709910,12710160,peak26161,muscle_tentacle_retractor,11.8908047933547,Nvec_vc1.1_XM_032363561.2,1.28071280333726,4,"","","","","",1.28071280333726
NC_064036.1,12990051,12990301,peak26313,muscle_tentacle_retractor,14.5314989446449,Nvec_vc1.1_XM_048725791.1,1.36869808855944,5,Slc22a22/Slc22a28,"","",Sugar_tr,"",1.36869808855944
NC_064036.1,13146763,13147013,peak26383,muscle_tentacle_retractor,13.1044801525158,Nvec_vc1.1_XM_032363425.2,1.2047215117599,7,Slc6a20b/Slc6a17/Slc6a19/Slc6a18/Slc6a15/Slc6a20a,"","",SNF,"",1.2047215117599
NC_064036.1,13753208,13753458,peak26731,muscle_tentacle_retractor,11.1895894328318,Nvec_NVE8358,1.3668699445717,4,"","","","","",1.3668699445717
NC_064036.1,13753208,13753458,peak26731,muscle_tentacle_retractor,11.1895894328318,Nvec_vc1.1_XM_001638628.3,1.87150486664131,2,Chrm4/Htr1a,"","",7tm_1,"",1.87150486664131
NC_064036.1,13755448,13755698,peak26736,muscle_tentacle_retractor,8.09607986654865,Nvec_NVE8358,1.3668699445717,4,"","","","","",1.3668699445717
NC_064036.1,13755448,13755698,peak26736,muscle_tentacle_retractor,8.09607986654865,Nvec_vc1.1_XM_001638628.3,1.87150486664131,2,Chrm4/Htr1a,"","",7tm_1,"",1.87150486664131
NC_064036.1,13818972,13819222,peak26782,muscle_tentacle_retractor,4.1158677742221,Nvec_vc1.1_XM_048724802.1,1.3795300284628,5,"","",Homeodomains.HG1.55:like:EN1/EN2,Homeodomain,tfs,1.27784753434523
NC_064036.1,13818972,13819222,peak26782,muscle_tentacle_retractor,4.1158677742221,Nvec_vc1.1_XM_048724802.1,1.3795300284628,5,"","",Homeodomains.HG1.55:like:EN1/EN2,Homeodomain,tfs,1.27784753434523
NC_064036.1,13818972,13819222,peak26782,muscle_tentacle_retractor,4.1158677742221,Nvec_vc1.1_XM_048724802.1,1.3795300284628,5,"","",Homeodomains.HG1.55:like:EN1/EN2,Homeodomain,tfs,1.27784753434523
NC_064036.1,13818972,13819222,peak26782,muscle_tentacle_retractor,4.1158677742221,Nvec_vc1.1_XM_048724802.1,1.3795300284628,5,"","",Homeodomains.HG1.55:like:EN1/EN2,Homeodomain,tfs,1.27784753434523
NC_064036.1,13823768,13824017,peak26786,muscle_tentacle_retractor,9.44261081228297,Nvec_vc1.1_XM_048724802.1,1.3795300284628,5,"","",Homeodomains.HG1.55:like:EN1/EN2,Homeodomain,tfs,1.27784753434523
NC_064036.1,13823813,13824062,peak26787,muscle_tentacle_retractor,10.1762953632464,Nvec_vc1.1_XM_048724802.1,1.3795300284628,5,"","",Homeodomains.HG1.55:like:EN1/EN2,Homeodomain,tfs,1.27784753434523
NC_064036.1,13861715,13861965,peak26800,muscle_tentacle_retractor,31.412456594267,Nvec_vc1.1_XM_032363327.2,1.30262495740789,5,B4galnt4/B4galnt3,"","",CHGN,"",1.30262495740789
NC_064036.1,14105882,14106132,peak26940,muscle_tentacle_retractor,9.59414788588548,Nvec_vc1.1_XM_001638647.3,1.45089888457896,2,"","","","","",1.45089888457896
NC_064036.1,14110903,14111153,peak26947,muscle_tentacle_retractor,18.2509021583714,Nvec_vc1.1_XM_001638647.3,1.45089888457896,2,"","","","","",1.45089888457896
NC_064036.1,14145235,14145485,peak26953,muscle_tentacle_retractor,9.47883332198543,Nvec_vc1.1_XM_001638648.3,1.60380287476853,4,"","","","","",1.60380287476853
NC_064036.1,14145822,14146072,peak26954,muscle_tentacle_retractor,12.5102726901341,Nvec_vc1.1_XM_001638648.3,1.60380287476853,4,"","","","","",1.60380287476853
NC_064036.1,14735980,14736230,peak27205,muscle_tentacle_retractor,9.60230986586777,Nvec_vc1.1_XM_032367573.2,1.6019700124294,2,Samd11/Samd7,"",SAND.HG1.1:like:GMEB1/GMEB2,SAND/SAM_1,tfs,1.6019700124294
NC_064036.1,14737345,14737595,peak27208,muscle_tentacle_retractor,59.8706594267039,Nvec_vc1.1_XM_032367573.2,1.6019700124294,2,Samd11/Samd7,"",SAND.HG1.1:like:GMEB1/GMEB2,SAND/SAM_1,tfs,1.6019700124294
NC_064036.1,14740721,14740971,peak27217,muscle_tentacle_retractor,11.5427078368625,Nvec_vc1.1_XM_032367573.2,1.6019700124294,2,Samd11/Samd7,"",SAND.HG1.1:like:GMEB1/GMEB2,SAND/SAM_1,tfs,1.6019700124294
NC_064036.1,14749486,14749736,peak27234,muscle_tentacle_retractor,13.1808742425274,Nvec_vc1.1_XM_048724863.1,1.39717647432614,8,"","","","","",1.39717647432614
NC_064036.1,14750495,14750745,peak27237,muscle_tentacle_retractor,12.6200125961735,Nvec_vc1.1_XM_048724863.1,1.39717647432614,8,"","","","","",1.39717647432614
NC_064036.1,14750495,14750745,peak27237,muscle_tentacle_retractor,12.6200125961735,Nvec_vc1.1_XM_048724863.1,1.39717647432614,8,"","","","","",1.39717647432614
NC_064036.1,14770858,14771108,peak27244,muscle_tentacle_retractor,22.0929903996732,Nvec_vc1.1_XM_001641885.3,1.60880107807692,1,"","","",IMPDH/CBS/CBS,"",1.26999560986389
NC_064036.1,14771907,14772157,peak27246,muscle_tentacle_retractor,18.8104871655205,Nvec_vc1.1_XM_001641885.3,1.60880107807692,1,"","","",IMPDH/CBS/CBS,"",1.26999560986389
NC_064036.1,14778469,14778719,peak27255,muscle_tentacle_retractor,16.001089398788,Nvec_vc1.1_XM_032367713.2,1.5942928880015,3,"","","",MFS_1,"",1.56487838947333
NC_064036.1,15020459,15020709,peak27335,muscle_tentacle_retractor,3.77666473752298,Nvec_vc1.1_XM_001641871.3,1.22163035107166,3,"","","",CUB/CUB/CUB/Ldl_recept_a,"",1.22163035107166
NC_064036.1,15148360,15148610,peak27410,muscle_tentacle_retractor,7.05801048546334,Nvec_vc1.1_XM_032367581.2,1.57127498164275,5,Phex//Mme,"","",Peptidase_M13_N/Peptidase_M13,"",1.57127498164275
NC_064036.1,15148360,15148610,peak27410,muscle_tentacle_retractor,7.05801048546334,Nvec_vc1.1_XM_032367581.2,1.57127498164275,5,Phex//Mme,"","",Peptidase_M13_N/Peptidase_M13,"",1.57127498164275
NC_064036.1,15148736,15148986,peak27411,muscle_tentacle_retractor,10.1424899571049,Nvec_vc1.1_XM_032367581.2,1.57127498164275,5,Phex//Mme,"","",Peptidase_M13_N/Peptidase_M13,"",1.57127498164275
NC_064034.1,6328579,6328829,peak2769,muscle_tentacle_retractor,10.9836079526112,Nvec_vc1.1_XM_048728413.1,2.4726260665009,3,"","","","","",2.4726260665009
NC_064034.1,6329545,6329795,peak2770,muscle_tentacle_retractor,8.21999897868864,Nvec_vc1.1_XM_048728413.1,2.4726260665009,3,"","","","","",2.4726260665009
NC_064034.1,6329857,6330107,peak2771,muscle_tentacle_retractor,14.6521839041329,Nvec_vc1.1_XM_048728413.1,2.4726260665009,3,"","","","","",2.4726260665009
NC_064034.1,6329857,6330107,peak2771,muscle_tentacle_retractor,14.6521839041329,Nvec_vc1.1_XM_048728413.1,2.4726260665009,3,"","","","","",2.4726260665009
NC_064034.1,6330792,6331042,peak2772,muscle_tentacle_retractor,10.1439368148703,Nvec_vc1.1_XM_048728413.1,2.4726260665009,3,"","","","","",2.4726260665009
NC_064036.1,16124727,16124976,peak27885,muscle_tentacle_retractor,12.1944236399537,Nvec_vc1.1_XM_048724425.1,1.43000785270039,2,Vcl,"","",Vinculin,"",1.35496525357379
NC_064036.1,16125235,16125485,peak27887,muscle_tentacle_retractor,12.1138762170627,Nvec_vc1.1_XM_048724425.1,1.43000785270039,2,Vcl,"","",Vinculin,"",1.35496525357379
NC_064036.1,16125810,16126060,peak27888,muscle_tentacle_retractor,10.3099169333424,Nvec_vc1.1_XM_048724425.1,1.43000785270039,2,Vcl,"","",Vinculin,"",1.35496525357379
NC_064034.1,6484903,6485153,peak2829,muscle_tentacle_retractor,6.06994280656363,Nvec_vc1.1_XM_032367980.2,1.3547271480703,2,"","","",EGF,"",1.27183986463815
NC_064034.1,6484903,6485153,peak2829,muscle_tentacle_retractor,6.06994280656363,Nvec_vc1.1_XM_048730830.1,1.50340134848731,2,"","","",EGF,"",1.50340134848731
NC_064036.1,17188694,17188944,peak28297,muscle_tentacle_retractor,2.363416626949,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17188694,17188944,peak28297,muscle_tentacle_retractor,2.363416626949,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17188694,17188944,peak28297,muscle_tentacle_retractor,2.363416626949,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17188694,17188944,peak28297,muscle_tentacle_retractor,2.363416626949,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17188694,17188944,peak28297,muscle_tentacle_retractor,2.363416626949,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17188694,17188944,peak28297,muscle_tentacle_retractor,2.363416626949,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17188694,17188944,peak28297,muscle_tentacle_retractor,2.363416626949,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17188694,17188944,peak28297,muscle_tentacle_retractor,2.363416626949,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17191494,17191744,peak28300,muscle_tentacle_retractor,15.0247753115,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17191494,17191744,peak28300,muscle_tentacle_retractor,15.0247753115,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17191915,17192165,peak28301,muscle_tentacle_retractor,34.2041516306938,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17192224,17192474,peak28302,muscle_tentacle_retractor,15.1064376659631,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17194632,17194882,peak28306,muscle_tentacle_retractor,42.2539831143188,Nvec_vc1.1_XM_001634427.3,2.13001927671053,2,"","","",7tm_1,"",2.13001927671053
NC_064036.1,17288482,17288732,peak28356,muscle_tentacle_retractor,15.1836147613536,Nvec_vc1.1_XM_048725097.1,1.36055366638545,2,"","","",CBM_48/Alpha-amylase/Alpha-amylase_C,"",1.33808980841524
NC_064034.1,6495550,6495800,peak2839,muscle_tentacle_retractor,15.3505736365493,Nvec_vc1.1_XM_048730834.1,1.90958686568195,2,"","","","","",1.90958686568195
NC_064034.1,6495550,6495800,peak2839,muscle_tentacle_retractor,15.3505736365493,Nvec_vc1.1_XM_048730166.1,2.68849712434005,1,"","","","","",1.39158112438014
NC_064034.1,6496735,6496985,peak2841,muscle_tentacle_retractor,35.346718186151,Nvec_vc1.1_XM_048730166.1,2.68849712434005,1,"","","","","",1.39158112438014
NC_064036.1,19201544,19201794,peak29078,muscle_tentacle_retractor,10.4057670048342,Nvec_vc1.1_XM_001629536.3,1.46431142373465,6,"","","",BTB_2/Ion_trans,"",1.46431142373465
NC_064036.1,19204563,19204813,peak29081,muscle_tentacle_retractor,15.7066793763192,Nvec_vc1.1_XM_001629536.3,1.46431142373465,6,"","","",BTB_2/Ion_trans,"",1.46431142373465
NC_064036.1,19299537,19299787,peak29139,muscle_tentacle_retractor,11.6711462517873,Nvec_vc1.1_XM_048725179.1,1.5864902710729,4,Phex//Mme,"","",Peptidase_M13_N/Peptidase_M13,"",1.5864902710729
NC_064036.1,19299537,19299787,peak29139,muscle_tentacle_retractor,11.6711462517873,Nvec_vc1.1_XM_048725179.1,1.5864902710729,4,Phex//Mme,"","",Peptidase_M13_N/Peptidase_M13,"",1.5864902710729
NC_064036.1,19299537,19299787,peak29139,muscle_tentacle_retractor,11.6711462517873,Nvec_vc1.1_XM_048725179.1,1.5864902710729,4,Phex//Mme,"","",Peptidase_M13_N/Peptidase_M13,"",1.5864902710729
NC_064036.1,19299537,19299787,peak29139,muscle_tentacle_retractor,11.6711462517873,Nvec_vc1.1_XM_048725179.1,1.5864902710729,4,Phex//Mme,"","",Peptidase_M13_N/Peptidase_M13,"",1.5864902710729
