gene	cell_type	rank	mcfp	umi	total_umi	max_chromvar	gene_name	common_name	og	pfam
Nvec_vc1.1_XM_001633541.3	mesendoderm.embryonic	5282	1.06344800691805	35	43	34.7544429519433	""	""	Homeodomains.HG3.5:like:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX/ONECUT1/ONECUT2/ONECUT3	SIX1_SD/Homeobox_KN
Nvec_vc1.1_XM_001633762.3	ectoderm.embryonic	122	4.58831468092769	54002	168680	29.2157560033727	""	""	HMGbox_Sox.HG1.37:like:SSRP1	HMG_box/HMG_box
Nvec_vc1.1_XM_001633772.3	ectoderm.embryonic	4825	1.48080380250402	477	1142	15.0143410397166	""	""	zf-C2H2.HG4.1:like:GLI1/GLI2/GLI3/GLIS1/GLIS2/GLIS3	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001633819.3	gland.mucous	4	23.5281152560521	5008	14920	49.988893040012	""	BHMG1	HLH.HG1.3:BHMG1	HLH
Nvec_vc1.1_XM_001633894.3	ectoderm.embryonic	7864	1.20269018516417	150	369	35.6745736136004	Tfap2d/Tfap2c/Tfap2e/Tfap2b/Tfap2a	""	AP-2.HG1.0:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	TF_AP-2
Nvec_vc1.1_XM_001633901.3	neuronal	175	2.47388978535194	249	4849	24.8552876175836	Tbx3/Tbx2	""	T-box.HG1.11:TBX2/TBX3	T-box
Nvec_vc1.1_XM_001633902.3	ectoderm.embryonic.aboral	375	1.9873506960991	3432	5378	33.8499654488384	Tbx5/Tbx4	""	T-box.HG1.12:TBX4/TBX5	T-box
Nvec_vc1.1_XM_001633995.3	ectoderm.embryonic	7315	1.24756952740609	201	582	11.3839739823608	Irx6	""	Homeodomains.HG3.22:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX	Homeobox_KN
Nvec_vc1.1_XM_001634111.3	NPC	72	2.13086463690337	582	2991	23.6299826024736	""	""	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead
Nvec_vc1.1_XM_001634116.3	ectoderm.embryonic	124	4.56730387568394	7408	17570	18.3788380002004	""	""	Homeodomains.HG2.70:ARX	Homeodomain/OAR
Nvec_vc1.1_XM_001634132.3	ectoderm.embryonic.aboral	212	2.29559695493733	2477	4480	5.53539833282396	""	""	zf-C2H2.HG2.14:SP1/SP2/SP3/SP4/SP5/SP6/SP7/SP8/SP9	zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001634160.3	ectoderm.embryonic	989	2.54311186315606	1330	2714	18.3536028799862	Rax	""	Homeodomains.HG2.57:RAX/RAX2	Homeodomain/OAR
Nvec_vc1.1_XM_001634202.3	ectoderm.embryonic.aboral	4975	1.13209163233764	203	364	29.0373928896634	Hoxa1/Hoxb1/Hoxd1	Anthox6/Ax6	Homeodomains.HG1.58:HOXA1/HOXB1/HOXD1	Homeodomain
Nvec_vc1.1_XM_001634326.3	ectoderm.embryonic	1032	2.51047215693911	5459	14759	19.5665409670382	""	""	bZIP.HG2.0:like:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	bZIP_2
Nvec_vc1.1_XM_001634328.3	cnidocyte	35	4.83004487772512	1252	1340	26.0641710705556	""	NR12	zf-C4_Nuclear_receptors.HG1.24:like:NR2F1/NR2F2/NR2F6	zf-C4/Hormone_recep
Nvec_vc1.1_XM_001634460.3	ectoderm.epidermis	662	1.95703490968445	91	3219	12.9202186850305	""	""	bZIP.HG2.13:like:DBP/HLF/TEF	bZIP_2
Nvec_vc1.1_XM_001634505.3	ectoderm.embryonic.oral	1	3.78532460076356	4200	5297	28.5970533094797	Foxa3/Foxa1/Foxa2	FoxA	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead_N/Forkhead/HNF_C
Nvec_vc1.1_XM_001634550.3	ectoderm.embryonic	7	10.89584788617	18902	46868	34.9916555748506	""	""	HLH.HG1.53:HES5/HES7	HLH
Nvec_vc1.1_XM_001634673.3	ectoderm.embryonic	6546	1.30873075586489	371	1031	44.5708459799022	Zfp760/	""	zf-C2H2.HG1.5:ZNF688	zf-C2H2_11/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001634712.3	ectoderm.embryonic	1509	2.2319739697633	1198	3560	5.38870064550481	Ebf1/Ebf4/Ebf2/Ebf3	""	HLH.HG2.0:EBF1/EBF2/EBF3/EBF4	COE1_DBD/TIG/COE1_HLH
Nvec_vc1.1_XM_001634768.3	mesendoderm.embryonic	31	4.21295086446713	2090	2162	32.9384620842694	""	""	Homeodomains.HG2.11:DUX4/DUXA/DUXB	Homeodomain
Nvec_vc1.1_XM_001634956.3	mesendoderm.embryonic	210	1.86542556201685	519	569	46.0596509788702	Gsc2/Gsc//Obox1/Obox7/Obox2	""	Homeodomains.HG2.43:GSC/GSC2	Homeodomain
Nvec_vc1.1_XM_001634986.3	ectoderm.embryonic	8583	1.15858967720497	122	324		Stat5b/Stat5a/Stat6	""	STAT.HG1.2:STAT6	STAT_alpha/STAT_bind/SH2
Nvec_vc1.1_XM_001635015.3	cnidocyte	177	2.13012319174476	387	615	18.6905575748764	Rhox7a/Rhox7b/Prop1/Rhox2e/Rhox2h/Rhox2f/Rhox2d/Rhox2g/Rhox2b/Rhox2c/Rhox2a	""	Homeodomains.HG2.68:like:ARX/OTP	Homeodomain
Nvec_vc1.1_XM_001635041.3	ectoderm.epidermis	256	3.08712115866961	235	3438	7.56743162835995	Srf	""	MADS-box_SRF.HG1.0:SRF	SRF-TF
Nvec_vc1.1_XM_001635120.3	ectoderm.epidermis	1251	1.49326016706208	26	723	16.4478537761989	""	""	zf-C2H2.HG1.207:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_4
Nvec_vc1.1_XM_001635172.3	gland.mucous	111	2.7139295916539	327	1708	41.7190435329721	Mxi1/Mxd3/Mxd4/Mxd1	""	HLH.HG1.38:MXD1/MXD3/MXD4/MXI1	HLH
Nvec_vc1.1_XM_001635275.3	ectoderm.embryonic	6030	1.35511397194859	689	2474	11.5430345805698	""	""	HLH.HG1.63:like:HES5/HES7	HLH
Nvec_vc1.1_XM_001635276.3	ectoderm.embryonic	1069	2.48465688317324	2279	7579	13.7869604162366	""	""	HLH.HG1.63:like:HES5/HES7	HLH
Nvec_vc1.1_XM_001635277.3	ectoderm.embryonic	4877	1.47489823657796	376	730	8.00114135838218	""	""	HLH.HG1.62:like:HES5/HES7	HLH/Hairy_orange
Nvec_vc1.1_XM_001635315.3	ectoderm.embryonic.oral	5	1.95261012176647	1035	1644	8.036028292298	""	""	HLH.HG1.63:like:HES5/HES7	HLH
Nvec_vc1.1_XM_001635316.3	NPC	381	1.52441501605413	261	1490	5.04075400771318	Hes7	""	HLH.HG1.53:HES5/HES7	HLH
Nvec_vc1.1_XM_001635374.3	ectoderm.embryonic	5209	1.4361206502056	2323	10266	15.9711540846462	Pbx4/Pbx2/Pbx1	""	Homeodomains.HG3.7:PBX1/PBX2/PBX3/PBX4	PBC/Homeodomain
Nvec_vc1.1_XM_001635960.3	cnidocyte	105	2.51567125789812	1931	2588		""	""	zf-C4_Nuclear_receptors.HG1.25:like:NR2F1/NR2F2/NR2F6	zf-C4/Hormone_recep
Nvec_vc1.1_XM_001636116.3	ectoderm.embryonic	1830	2.09817964814124	3039	8991	17.9696669749799	Tbpl2/Tbp	""	TBP.HG1.3:TBP/TBPL2	TBP/TBP
Nvec_vc1.1_XM_001636163.3	ectoderm.embryonic	7194	1.25869684233077	322	896	15.2899494257237	Ppcs	""	Homeodomains.HG4.4:POU6F1/POU6F2	DFP/DFP/Pou/Homeodomain
Nvec_vc1.1_XM_001636315.3	neuronal	320	1.95044795621093	78	278	22.9381580123267	Gfi1b/Gfi1	""	zf-C2H2.HG1.35:FEZF1/FEZF2/GFI1/GFI1B	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001636352.3	mesendoderm.embryonic	4917	1.07322438703844	37	54	5.22075945375651	""	""	Ets.HG1.2:ELK1/ELK3/ELK4	Ets
Nvec_vc1.1_XM_001636447.3	ectoderm.embryonic	9058	1.13167949245721	159	542		Glis2	""	zf-C2H2.HG4.9:GLIS2	zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001636464.3	ectoderm.embryonic	3658	1.64341511761419	528	1570	10.9182864149005	Terf2ip	""	Myb.HG7.0:TERF2IP	BRCT_2/Myb_DNA-bind_2
Nvec_vc1.1_XM_001636622.3	ectoderm.embryonic	3553	1.66448166789956	665	1794	17.1457815923822	Mnt	""	HLH.HG1.37:MNT	HLH
Nvec_vc1.1_XM_001636859.3	gland.mucous	1483	1.14935986669223	26	130	11.520868942102	Rhox4a2/Rhox3f/Rhox3h/Rhox3g/Rhox3a2/Rhox3a/Rhox3c/Rhox3e/Rhox7a/Rhox7b	""	Homeodomains.HG2.58:UNCX	Homeodomain/OAR
Nvec_vc1.1_XM_001636862.3	ectoderm.embryonic.aboral	1	9.25432069681477	18843	21130	28.6615887538859	Rhox3f/Rhox3h/Rhox3g/Rhox3a2/Rhox4a/Rhox3a/Rhox4a2/Rhox3c/Rhox3e/Rhox4c	""	Homeodomains.HG2.33:like:PAX1/PAX9	Homeodomain
Nvec_vc1.1_XM_001636889.3	ectoderm.embryonic.aboral	1001	1.57208112903297	937	1400	16.6072912587365	Foxj1	FoxJ1	Forkhead.HG1.24:FOXJ1	Forkhead
Nvec_vc1.1_XM_001636971.3	ectoderm.embryonic.aboral	1220	1.51147433322815	1000	2079	17.0580040926882	Rere	""	GATA.HG2.1:RERE	BAH/ELM2/GATA
Nvec_vc1.1_XM_001637044.3	ectoderm.embryonic	9269	1.12080863581178	98	201	5.58848213994517	Hes1	""	HLH.HG1.54:like:HES5/HES7	HLH/Hairy_orange
Nvec_vc1.1_XM_001637155.3	ectoderm.embryonic	1562	2.20382422270605	2133	6947	0	Dmap1	""	Myb.HG5.0:DMAP1	SANT_DAMP1_like/DMAP1
Nvec_vc1.1_XM_001637190.3	ectoderm.embryonic	4897	1.47266085945338	447	1191	20.3151744960787	Glis1/Glis3	""	zf-C2H2.HG4.11:GLIS1/GLIS3	zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001637374.3	ectoderm.epidermis	334	2.68934861210149	82	454	12.3130121513431	""	""	Ets.HG1.2:ELK1/ELK3/ELK4	Ets
Nvec_vc1.1_XM_001637508.3	ectoderm.embryonic	2448	1.89669822572192	1210	3673	17.2250190592171	""	""	IRF.HG1.1:IRF1/IRF2/IRF3/IRF4/IRF5/IRF6/IRF7/IRF8/IRF9	IRF
Nvec_vc1.1_XM_001637529.3	ectoderm.embryonic	5693	1.38644376980059	791	3072	19.2572564032779	Ttf1	""	Myb.HG1.2:DMTF1/TTF1	Myb_DNA-binding/Myb_DNA-binding
Nvec_vc1.1_XM_001637733.3	NPC	3164	1.08196153852553	27	51	37.7455136812216	Gsx1/Gsx2	""	Homeodomains.HG1.67:GSX1/GSX2	Homeodomain
Nvec_vc1.1_XM_001638266.3	ectoderm.epidermis	316	2.76197350969053	113	1143	16.5106825847388	Crebl2	""	bZIP.HG1.0:CREBL2	bZIP_2
Nvec_vc1.1_XM_001638641.3	ectoderm.embryonic.aboral	6992	1.06520416593145	105	182	25.9197616899394	""	""	zf-C2H2.HG2.4:MTF1/ZNF76/ZNF143	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001638761.3	neuronal	383	1.84187121208563	92	2089	51.2882653245468	Zfp541/Mideas	""	zf-C2H2.HG16.2:like:TRERF1/ZNF541	zf-C2H2/zf-C2H2_6/ELM2
Nvec_vc1.1_XM_001638841.3	ectoderm.embryonic	8961	1.13718807985173	85	197	33.0352603112651	Foxg1/Gm43517	""	Forkhead.HG1.22:FOXG1	Forkhead
Nvec_vc1.1_XM_001638852.3	ectoderm.embryonic	821	2.66508271778027	1521	3543	24.5634823996566	Tfam	""	HMGbox_Sox.HG1.47:like:NSD2	HMG_box/HMG_box/HMG_box
Nvec_vc1.1_XM_001639101.3	ectoderm.embryonic	46	5.89192199342871	6740	13500	46.6536518340611	Pax5/Pax8/Pax2	""	Homeodomains.HG2.27:like:PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9	PAX/Homeodomain
Nvec_vc1.1_XM_001639164.3	neuronal	131	2.73214143343267	175	295	16.3020211779642	""	""	Homeodomains.HG2.36:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/GSC/GSC2/ISX/MIXL1/NOBOX/OTP/OTX1/OTX2/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/UNCX/VSX1/VSX2	Homeodomain
Nvec_vc1.1_XM_001639307.3	ectoderm.embryonic	6149	1.34427875131196	785	2808	25.7650910205673	""	""	bZIP.HG3.3:like:MAF/MAFA/MAFB/NRL	bZIP_Maf
Nvec_vc1.1_XM_001639547.3	ectoderm.embryonic	1475	2.24520742604599	3940	13646	0	Klf11	""	zf-C2H2.HG2.11:KLF10/KLF11	zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001639692.3	ectoderm.embryonic	4837	1.47953470691416	445	1334	44.7233748014529	Clock/Npas2	""	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1	HLH/PAS/PAS_11
Nvec_vc1.1_XM_001639701.3	cnidocyte	14	7.43000124933967	2745	5702	49.4333061297465	""	NvSox2	HMGbox_Sox.HG1.14:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY	HMG_box
Nvec_vc1.1_XM_001639705.3	NPC	81	2.07072482503705	718	1946	37.2759238408862	""	""	zf-C2H2.HG1.30:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001639717.3	gland.mucous	782	1.34338120957694	40	187	12.2431884992086	""	""	zf-C2H2.HG1.35:FEZF1/FEZF2/GFI1/GFI1B	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001639766.3	ectoderm.embryonic	8811	1.14509703553571	162	472	10.1174806440824	""	""	zf-C2H2.HG3.18:like:HINFP/HIVEP2/HIVEP3/RREB1/YY1/YY2/ZFP42/ZFPM1/ZNF148/ZNF281/ZNF407/ZNF469/ZNF516/ZNF740/ZNF831	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001640726.3	ectoderm.embryonic	1740	2.12838305120249	2468	6998		Nfya	""	NFYA.HG1.2:like:NFYA	CBFB_NFYA
Nvec_vc1.1_XM_001640743.3	gland.mucous	1899	1.09691519101575	10	30	47.3440084972516	""	""	HLH.HG1.29:MYC/MYCL/MYCN	HLH
Nvec_vc1.1_XM_001640781.3	ectoderm.embryonic	7806	1.20693700901936	155	269	19.2672988120612	Nkx1-1/Nkx1-2	""	Homeodomains.HG1.41:NKX1-1/NKX1-2	Homeodomain
Nvec_vc1.1_XM_001640809.3	NPC	88	2.04171965274565	405	1776	38.135399059155	""	Myc2	HLH.HG1.29:MYC/MYCL/MYCN	Myc_N/HLH
Nvec_vc1.1_XM_001640853.3	ectoderm.epidermis	28	12.4483401872535	2727	56256	18.087972012643	Jund/Junb/Jun	""	bZIP.HG1.6:JUN/JUNB/JUND	Jun/bZIP_1
Nvec_vc1.1_XM_001640990.3	cnidocyte	374	1.62914621104091	219	226	61.8826664326067	""	""	HLH.HG1.77:like:NEUROD1/NEUROD2/NEUROD4/NEUROD6	HLH
Nvec_vc1.1_XM_001641032.3	cnidocyte	785	1.3009401584031	123	142	34.6622029680665	Nanog	""	Homeodomains.HG1.18:NANOG/NANOGP8	Homeodomain
Nvec_vc1.1_XM_001641086.3	ectoderm.embryonic	2229	1.9631277452942	968	2730	13.9037652520366	Snai1	""	zf-C2H2.HG7.5:SNAI1/SNAI2/SNAI3	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001641129.3	cnidocyte	3	23.3056196602704	9044	12268	63.3003183064385	Zfp281/Zfp148	ZNF845	zf-C2H2.HG3.8:like:ZNF770	zf-C2H2/zf-C2H2/zf-C2H2/zf-H2C2_2/zf-C2H2
Nvec_vc1.1_XM_001641264.3	cnidocyte	2310	1.06967731518766	18	49	28.9506830670184	""	""	Homeodomains.HG1.61:NOTO	Homeodomain
Nvec_vc1.1_XM_001641660.3	ectoderm.embryonic	998	2.53809400959609	4495	12068	36.6072022372015	Pitx3/Pitx2/Pitx1	""	Homeodomains.HG2.64:PITX1/PITX2/PITX3	Homeodomain
Nvec_vc1.1_XM_001641783.3	ectoderm.embryonic	5889	1.3683958498842	295	811		""	""	mTERF.HG1.0:MTERF4	mTERF
Nvec_vc1.1_XM_001647471.3	mesendoderm.embryonic	103	2.34070973373015	839	1164	43.1763269743843	Otx1/Otx2	OtxC	Homeodomains.HG2.46:CRX/OTX1/OTX2	Homeodomain
Nvec_vc1.1_XM_001647488.3	mesendoderm.embryonic	214	1.84829609017005	563	863	23.5988572977029	Otx1/Otx2	""	Homeodomains.HG2.46:CRX/OTX1/OTX2	Homeodomain
Nvec_vc1.1_XM_032361849.2	mesendoderm.embryonic	468	1.52201395983757	284	357	12.9132979182535	""	""	Ets.HG1.2:ELK1/ELK3/ELK4	Ets
Nvec_vc1.1_XM_032361976.2	mesendoderm.embryonic	3449	1.12283197369169	61	72	47.9459679069702	""	""	IRF.HG1.1:IRF1/IRF2/IRF3/IRF4/IRF5/IRF6/IRF7/IRF8/IRF9	IRF
Nvec_vc1.1_XM_032362135.2	cnidocyte	308	1.74634632958325	558	3155	46.0061125664587	Arid3c/Arid3a/Arid3b	""	ARID_BRIGHT.HG1.9:ARID3A/ARID3B/ARID3C	ARID
Nvec_vc1.1_XM_032362140.2	gland.mucous	3659	1.01930050838265	3	42		""	""	Doublesex_DM.HG1.1:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1/DMRTC2	DM
Nvec_vc1.1_XM_032362346.2	ectoderm.embryonic	10860	1.05705043464724	34	46	21.7369895261309	Hlx	""	Homeodomains.HG1.21:BARX1/BARX2/BSX/DBX1/DBX2/HLX	Homeodomain
Nvec_vc1.1_XM_032362379.2	mesendoderm.embryonic	215	1.84703001747535	609	1671	41.0655283928255	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_032362387.2	neuronal	3691	1.03784336603881	2	25		Dmrt2	""	Doublesex_DM.HG1.13:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	DM/DMA
Nvec_vc1.1_XM_032362396.2	ectoderm.embryonic	13560	1.01209702107526	7	11	13.1510924037587	""	""	Homeodomains.HG1.69:HOXA3/HOXB3/HOXD3	Homeodomain
Nvec_vc1.1_XM_032362607.2	mesendoderm.embryonic	4612	1.08126452402058	43	91	71.291337599758	""	""	Forkhead.HG1.5:FOXQ1	Forkhead
Nvec_vc1.1_XM_032362713.2	ectoderm.embryonic.aboral	115	2.66316129621481	6765	11868	32.4454341160144	Isl1/Isl2	Islet	Homeodomains.HG2.19:ISL1/ISL2	LIM/LIM/Homeodomain
Nvec_vc1.1_XM_032362934.2	mesendoderm.embryonic	1125	1.31535816346922	166	250	15.1138550934719	Elf3/Ehf/Elf5	""	Ets.HG1.11:EHF/ELF3/ELF5	Ets
Nvec_vc1.1_XM_032362959.2	ectoderm.pharyngeal	930	1.07402395771085	1	68	16.9084258117811	""	""	MADS-box_SRF.HG1.1:like:BORCS8-MEF2B/MEF2A/MEF2B/MEF2C/MEF2D	SRF-TF
Nvec_vc1.1_XM_032363017.2	gland.mucous	2902	1.03889663521204	7	143	10.9481942534984	Lyl1/Tal2/Tal1	""	HLH.HG1.87:LYL1/NHLH1/NHLH2/TAL1/TAL2	HLH
Nvec_vc1.1_XM_032363027.2	ectoderm.embryonic	2142	1.99130154208208	837	1702	40.1850036322585	Prdm14	""	zf-C2H2.HG19.1:PRDM14	SET/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_032363271.2	ectoderm.embryonic	2723	1.82852239219501	798	1903		Hnf4g/Hnf4a	""	zf-C4_Nuclear_receptors.HG1.8:HNF4A/HNF4G	zf-C4/Hormone_recep
Nvec_vc1.1_XM_032363350.2	ectoderm.embryonic	233	3.77894850863245	2651	4806	20.176603018634	Dlx4/Dlx1/Dlx3/Dlx6/Dlx2/Dlx5	""	Homeodomains.HG1.31:DLX1/DLX2/DLX3/DLX4/DLX5/DLX6	Homeodomain
Nvec_vc1.1_XM_032363417.2	ectoderm.embryonic.aboral	298	2.10519333407539	3794	7924	10.5833518541039	Zfp536/Zfp13/Zfp775/Zfp628	""	zf-C2H2.HG3.2:ZBTB17	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_032363603.2	mesendoderm.embryonic	8759	1.012649731358	6	11	14.8542643103239	Tbx18/Tbx22/Tbx15	""	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box
Nvec_vc1.1_XM_032363859.2	neuronal	278	2.06829606676763	86	1172	17.5099542154901	Foxp4/Foxp2/Foxp1	""	Forkhead.HG1.32:FOXP2	FOXP-CC/Forkhead
Nvec_vc1.1_XM_032363874.2	ectoderm.embryonic	5825	1.37404190454432	316	1268	19.2003825593854	""	""	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	Homeodomain
