cell_type	gene	pfam	og	gene_name	common_name	n_hits
muscle_mesentery_retractor	Nvec_vc1.1_XM_032370013.2	Homeodomain	Homeodomains.HG1.37:NKX6-1/NKX6-2/NKX6-3	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_048731339.1	TF_AP-2	AP-2.HG1.3:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032379400.2	Homeodomain	Homeodomains.HG2.76:like:DMBX1	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_048725617.1	HMG_box/zf-met	HMGbox_Sox.HG1.57:like:HMG20A/HMG20B	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_048722594.1	ARID/RFX_DNA_binding	ARID_BRIGHT.HG1.3:ARID2	Arid2	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032379394.2	Homeodomain	Homeodomains.HG2.77:like:DMBX1	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032379398.2	Homeodomain	Homeodomains.HG2.75:DMBX1	Dmbx1	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_048725325.1	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG1.1:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26	Prdm9/Prdm11	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001623127.3	Forkhead	Forkhead.HG1.31:like:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032376939.2	CUT/Homeodomain/Homeodomain	Homeodomains.HG2.15:LEUTX	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032383695.2	Homeodomain	Homeodomains.HG1.52:EVX1/EVX2	Evx1/Evx2	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001628041.3	HMG_box_2/HMG_box	HMGbox_Sox.HG1.24:HMGB1/HMGB2/HMGB3	Ubtfl1/Ubtf	""	1
muscle_tentacle_retractor	Nvec_vc1.1_XM_032362607.2	Forkhead	Forkhead.HG1.5:FOXQ1	""	""	19
muscle_tentacle_retractor	Nvec_vc1.1_XM_032362135.2	ARID	ARID_BRIGHT.HG1.9:ARID3A/ARID3B/ARID3C	Arid3c/Arid3a/Arid3b	""	13
muscle_tentacle_retractor	Nvec_vc1.1_XM_032384949.2	LIM/LIM/Homeodomain	Homeodomains.HG2.8:LHX2/LHX9	Lhx9/Lhx2	""	11
muscle_tentacle_retractor	Nvec_vc1.1_XM_001625754.3	Homeodomain	Homeodomains.HG2.6:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	""	""	8
muscle_tentacle_retractor	Nvec_vc1.1_XM_001625768.3	Homeodomain	Homeodomains.HG1.5:like:AC004080.3/AC012531.3/BARHL1/BARHL2/BARX1/BARX2/BSX/CDX1/CDX2/CDX4/DBX1/DBX2/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HHEX/HLX/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/LBX1/LBX2/MEOX1/MEOX2/MNX1/MSX1/MSX2/NANOG/NANOGP8/NKX1-1/NKX1-2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2/VENTX	""	""	8
muscle_tentacle_retractor	Nvec_vc1.1_XM_001633541.3	SIX1_SD/Homeobox_KN	Homeodomains.HG3.5:like:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX/ONECUT1/ONECUT2/ONECUT3	""	""	8
muscle_tentacle_retractor	Nvec_vc1.1_XM_001641032.3	Homeodomain	Homeodomains.HG1.18:NANOG/NANOGP8	Nanog	""	8
muscle_tentacle_retractor	Nvec_vc1.1_XM_032378769.2	Homeodomain	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	""	""	8
muscle_tentacle_retractor	Nvec_vc1.1_XM_032378779.2	Homeodomain	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	""	""	8
muscle_tentacle_retractor	Nvec_vc1.1_XM_048724756.1	Homeodomain	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	""	""	8
muscle_tentacle_retractor	Nvec_vc1.1_XM_048733551.1	Homeodomain	Homeodomains.HG1.5:like:AC004080.3/AC012531.3/BARHL1/BARHL2/BARX1/BARX2/BSX/CDX1/CDX2/CDX4/DBX1/DBX2/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HHEX/HLX/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/LBX1/LBX2/MEOX1/MEOX2/MNX1/MSX1/MSX2/NANOG/NANOGP8/NKX1-1/NKX1-2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2/VENTX	""	""	8
muscle_tentacle_retractor	Nvec_vc1.1_XM_032375349.2	HLH	HLH.HG1.50:HES3	""	""	8
muscle_tentacle_retractor	Nvec_vc1.1_XM_001633508.3	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_6/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG1.3:ZBTB3	""	""	8
muscle_tentacle_retractor	Nvec_vc1.1_XM_032363992.2	Pou/Homeodomain	Homeodomains.HG4.6:POU4F1/POU4F2/POU4F3	Pou4f3/Pou4f1/Pou4f2	Pou4	7
muscle_tentacle_retractor	Nvec_vc1.1_XM_032387167.2	Forkhead	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	""	FoxA/D?	7
muscle_tentacle_retractor	Nvec_vc1.1_XM_032385706.2	Forkhead	Forkhead.HG1.14:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	""	FoxQ2d	7
muscle_tentacle_retractor	Nvec_vc1.1_XM_032376554.2	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG1.17:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26	""	""	6
muscle_tentacle_retractor	Nvec_vc1.1_XM_048731616.1	zf-C2H2/zf-C2H2_11/zf-C2H2	zf-C2H2.HG17.1:HIC2	Zfp1000	""	6
muscle_tentacle_retractor	Nvec_vc1.1_XM_032380148.2	T-box	T-box.HG1.2:like:MGA/TBX1/TBX2/TBX3/TBX4/TBX5/TBX6/TBX10/TBX15/TBX18/TBX20/TBX22	""	""	6
muscle_tentacle_retractor	Nvec_vc1.1_XM_032364887.2	Forkhead	Forkhead.HG1.20:FOXL2	Foxl2	FoxL2	6
muscle_tentacle_retractor	Nvec_vc1.1_XM_048725325.1	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG1.1:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26	Prdm9/Prdm11	""	6
muscle_tentacle_retractor	Nvec_vc1.1_XM_048734691.1	zf-C2H2/zf-met/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG70.1:NA	""	""	5
muscle_tentacle_retractor	Nvec_vc1.1_XM_032372264.2	HMG_box	HMGbox_Sox.HG1.11:SOX4/SOX11/SOX12	/Sox4/Sox11	NvSoxC	5
muscle_tentacle_retractor	Nvec_vc1.1_XM_032376092.2	Myb_DNA-bind_4	Myb.HG3.0:like:HSPA14/MSANTD1/MSANTD2/UTF1/ZKSCAN2/ZSCAN20/ZSCAN29/ZSCAN32	""	""	5
muscle_tentacle_retractor	Nvec_vc1.1_XM_001623127.3	Forkhead	Forkhead.HG1.31:like:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	""	""	5
muscle_tentacle_retractor	Nvec_vc1.1_XM_048727123.1	GPS2_interact/Myb_DNA-binding	Myb.HG1.9:NCOR1/NCOR2	Ncor2/Ncor1	""	5
muscle_tentacle_retractor	Nvec_vc1.1_XM_032380975.2	SAM_PNT/Ets	Ets.HG1.5:ERF/ERFL/ERG/ETV3/ETV3L/FEV/FLI1	Erg/Fli1/Fev	""	4
muscle_tentacle_retractor	Nvec_vc1.1_XM_001633902.3	T-box	T-box.HG1.12:TBX4/TBX5	Tbx5/Tbx4	""	4
muscle_tentacle_retractor	Nvec_vc1.1_XM_001639705.3	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG1.30:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26	""	""	4
muscle_tentacle_retractor	Nvec_vc1.1_XM_001634202.3	Homeodomain	Homeodomains.HG1.58:HOXA1/HOXB1/HOXD1	Hoxa1/Hoxb1/Hoxd1	Anthox6/Ax6	4
muscle_tentacle_retractor	Nvec_vc1.1_XM_001638852.3	HMG_box/HMG_box/HMG_box	HMGbox_Sox.HG1.47:like:NSD2	Tfam	""	4
muscle_tentacle_retractor	Nvec_vc1.1_XM_048726881.1	zf-C2H2	zf-C2H2.HG1.3:ZBTB3	Zfp760/Zfp770	""	4
muscle_tentacle_retractor	Nvec_vc1.1_XM_048730021.1	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG2.4:MTF1/ZNF76/ZNF143	Gzf1/Zfp628	""	4
muscle_tentacle_retractor	Nvec_vc1.1_XM_032362379.2	Homeodomain	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Nkx2-2/Nkx2-9	""	4
muscle_tentacle_retractor	Nvec_vc1.1_XM_048729483.1	zf_ZIC/zf-C2H2/zf-C2H2	zf-C2H2.HG4.4:like:ZIC1/ZIC2/ZIC3/ZIC4/ZIC5	""	""	3
muscle_tentacle_retractor	Nvec_v1g210540	HLH	HLH.HG1.68:like:ASCL3/ASCL4/ASCL5	Ascl1/Ascl2	""	3
muscle_tentacle_retractor	Nvec_vc1.1_XM_048724012.1	zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG4.10:GLI1/GLI2/GLI3	Gli2/Gli3/Gli1	""	3
muscle_tentacle_retractor	Nvec_vc1.1_XM_032382158.2	HLH	HLH.HG1.45:TCF3/TCF4/TCF12	Tcf3/Tcf12/Tcf4	""	3
muscle_tentacle_retractor	Nvec_vc1.1_XM_032376206.2	HMG_box	HMGbox_Sox.HG1.13:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY	Sox13/Sox5/Sox6	SoxB2	3
muscle_tentacle_retractor	Nvec_vc1.1_XM_048724605.1	Myb_DNA-bind_7	Myb.HG6.0:BDP1	Bdp1	""	3
muscle_tentacle_retractor	Nvec_vc1.1_XM_001634768.3	Homeodomain	Homeodomains.HG2.11:DUX4/DUXA/DUXB	""	""	3
muscle_tentacle_retractor	Nvec_vc1.1_XM_032385373.2	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG13.5:GLI4/ZFP90/ZNF7/ZNF10/ZNF19/ZNF75A/ZNF75D/ZNF79/ZNF358/ZNF485/ZNF572/ZNF621/ZNF672	Zfp764/E430018J23Rik/Zfp689/9130019O22Rik/Zfp747/Zfp688	""	3
muscle_tentacle_retractor	Nvec_vc1.1_XM_001632929.3	Homeodomain	Homeodomains.HG2.41:SHOX/SHOX2	Shox2	""	3
muscle_tentacle_retractor	Nvec_vc1.1_XM_032362713.2	LIM/LIM/Homeodomain	Homeodomains.HG2.19:ISL1/ISL2	Isl1/Isl2	Islet	3
muscle_tentacle_retractor	Nvec_vc1.1_XM_001633762.3	HMG_box/HMG_box	HMGbox_Sox.HG1.37:like:SSRP1	""	""	3
muscle_tentacle_retractor	Nvec_vc1.1_XM_032376939.2	CUT/Homeodomain/Homeodomain	Homeodomains.HG2.15:LEUTX	""	""	3
muscle_tentacle_retractor	Nvec_vc1.1_XM_032379348.2	Homeodomain	Homeodomains.HG2.72:like:DMBX1	""	""	3
muscle_tentacle_retractor	Nvec_vc1.1_XM_001628279.3	HLH	HLH.HG1.76:ATOH8	Atoh8	""	3
muscle_tentacle_retractor	Nvec_v1g241767	Jun	bZIP.HG1.3:like:JUN/JUNB/JUND	""	""	2
muscle_tentacle_retractor	Nvec_v1g19278	zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG2.12:KLF9/KLF13/KLF14/KLF16	Klf13	Klf13	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_048721414.1	zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG1.7:PRDM13	Prdm13	""	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_032375915.2	zf-C2H2/zf-C2H2	zf-C2H2.HG4.0:like:GLI1/GLI2/GLI3/GLIS1/GLIS2/GLIS3	""	""	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_001637733.3	Homeodomain	Homeodomains.HG1.67:GSX1/GSX2	Gsx1/Gsx2	""	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_032370011.2	Homeodomain	Homeodomains.HG1.37:NKX6-1/NKX6-2/NKX6-3	""	""	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_032363603.2	T-box	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	Tbx18/Tbx22/Tbx15	""	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_032374843.2	T-box	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	Tbx10/Tbx1	Tbx1/10-1	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_032377450.2	T-box	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	""	Tbx20-1	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_032364121.2	Homeodomain	Homeodomains.HG1.39:BARHL1/BARHL2	""	""	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_032384889.2	HLH/Hairy_orange	HLH.HG1.63:like:HES5/HES7	""	Hes2	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_032362934.2	Ets	Ets.HG1.11:EHF/ELF3/ELF5	Elf3/Ehf/Elf5	""	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_001640809.3	Myc_N/HLH	HLH.HG1.29:MYC/MYCL/MYCN	""	Myc2	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_032366098.2	HLH	HLH.HG1.29:MYC/MYCL/MYCN	""	Ptx1	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_032376421.2	HLH	HLH.HG1.80:like:NEUROD1/NEUROD2/NEUROD4/NEUROD6	""	Ath-like	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_048726174.1	zf-C2HC/zf-C2HC/zf-C2HC/zf-C2HC/zf-C2HC/zf-C2HC/zf-C2HC	zf-C2H2.HG6.2:MYT1/MYT1L/ST18	Myt1l/St18/Myt1	""	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_032366602.2	SAM_PNT/Ets	Ets.HG1.11:EHF/ELF3/ELF5	Elf3/Ehf/Elf5	""	2
muscle_tentacle_retractor	Nvec_vc1.1_XM_001639701.3	HMG_box	HMGbox_Sox.HG1.14:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY	""	NvSox2	2
