gene	gene_name	common_name	og	pfam
Nvec_vc1.1_XM_001634712.3	Ebf1/Ebf4/Ebf2/Ebf3	""	HLH.HG2.0:EBF1/EBF2/EBF3/EBF4	COE1_DBD/TIG/COE1_HLH
Nvec_vc1.1_XM_032378152.2	Sox30	""	HMGbox_Sox.HG1.1:SOX30	HMG_box
Nvec_vc1.1_XM_001627423.3	Cic	""	HMGbox_Sox.HG1.10:BBX	HMG_box
Nvec_vc1.1_XM_032372264.2	/Sox4/Sox11	NvSoxC	HMGbox_Sox.HG1.11:SOX4/SOX11/SOX12	HMG_box
Nvec_vc1.1_XM_032376206.2	Sox13/Sox5/Sox6	SoxB2	HMGbox_Sox.HG1.13:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY	HMG_box
Nvec_vc1.1_XM_001639701.3	""	NvSox2	HMGbox_Sox.HG1.14:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY	HMG_box
Nvec_vc1.1_XM_032373062.2	""	""	HMGbox_Sox.HG1.14:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY	HMG_box
Nvec_vc1.1_XM_001636155.3	Sox17/Sox18/Sox7	NvSoxF1	HMGbox_Sox.HG1.16:like:PINX1/SOX7/SOX17/SOX18	HMG_box
Nvec_vc1.1_XM_032385411.2	""	""	HMGbox_Sox.HG1.17:PINX1/SOX7/SOX17/SOX18	HMG_box
Nvec_vc1.1_XM_032386296.2	""	""	HMGbox_Sox.HG1.18:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY	HMG_box
Nvec_vc1.1_XM_032379465.2	Sox13/Sox5/Sox6	SoxB2/Sox3	HMGbox_Sox.HG1.19:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY	HMG_box
Nvec_vc1.1_XM_048732776.1	Mael	""	HMGbox_Sox.HG1.22:MAEL	HMG_box_2/Maelstrom
Nvec_vc1.1_XM_001628041.3	Ubtfl1/Ubtf	""	HMGbox_Sox.HG1.24:HMGB1/HMGB2/HMGB3	HMG_box_2/HMG_box
Nvec_vc1.1_XM_032384228.2	""	""	HMGbox_Sox.HG1.26:like:SOX8/SOX9/SOX10	HMG_box
Nvec_NVE23841	""	SoxB2/Sox3	HMGbox_Sox.HG1.34:SRY	HMG_box
Nvec_vc1.1_XM_032380374.2	""	NvSoxA	HMGbox_Sox.HG1.34:SRY	HMG_box
Nvec_vc1.1_XM_001632568.3	""	NvSoxB2a	HMGbox_Sox.HG1.34:SRY	HMG_box
Nvec_vc1.1_XM_001624716.3	""	NvSox1	HMGbox_Sox.HG1.35:SOX1/SOX2/SOX3/SOX14/SOX21	HMG_box/SOXp
Nvec_vc1.1_XM_001632947.3	Sox3/Sox2	NvSoxB1	HMGbox_Sox.HG1.35:SOX1/SOX2/SOX3/SOX14/SOX21	HMG_box/SOXp
Nvec_vc1.1_XM_001633762.3	""	""	HMGbox_Sox.HG1.37:like:SSRP1	HMG_box/HMG_box
Nvec_vc1.1_XM_032380131.2	Ssrp1	""	HMGbox_Sox.HG1.38:SSRP1	POB3_N/SSrecog/Rtt106/HMG_box
Nvec_vc1.1_XM_048731950.1	Hmgxb4	""	HMGbox_Sox.HG1.39:HMGXB4	HMG_box
Nvec_vc1.1_XM_048731196.1	""	""	HMGbox_Sox.HG1.4:like:HBP1	HLH/HMG_box/zf-CW
Nvec_vc1.1_XM_032364359.2	Tox3/Tox/Tox2/Tox4	""	HMGbox_Sox.HG1.40:TOX/TOX2/TOX3/TOX4	HMG_box
Nvec_vc1.1_XM_001629987.3	""	NvSoxE1	HMGbox_Sox.HG1.42:SOX8/SOX9/SOX10	Sox_N/HMG_box
Nvec_vc1.1_XM_048730306.1	Tfam	""	HMGbox_Sox.HG1.47:like:NSD2	HMG_box/HMG_box
Nvec_vc1.1_XM_001638852.3	Tfam	""	HMGbox_Sox.HG1.47:like:NSD2	HMG_box/HMG_box/HMG_box
Nvec_vc1.1_XM_048723770.1	Smarce1	""	HMGbox_Sox.HG1.49:SMARCE1	HMG_box
Nvec_vc1.1_XM_032381587.2	Tfpt	""	HMGbox_Sox.HG1.51:like:SMARCE1	HMG_box
Nvec_vc1.1_XM_048727403.1	""	""	HMGbox_Sox.HG1.52:like:LEF1/TCF7/TCF7L1/TCF7L2	HMG_box_2
Nvec_vc1.1_XM_032372072.2	""	""	HMGbox_Sox.HG1.52:like:LEF1/TCF7/TCF7L1/TCF7L2	HMG_box/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_048732829.1	""	""	HMGbox_Sox.HG1.52:like:LEF1/TCF7/TCF7L1/TCF7L2	HMG_box/zf-met/zf-met/zf-C2H2
Nvec_vc1.1_XM_032382967.2	""	""	HMGbox_Sox.HG1.52:like:LEF1/TCF7/TCF7L1/TCF7L2	HMG_box/zf-met/zf-met/zf-C2H2
Nvec_vc1.1_XM_032371996.2	/Lef1/Tcf7l1/Tcf7	""	HMGbox_Sox.HG1.53:LEF1/TCF7/TCF7L1/TCF7L2	HMG_box
Nvec_vc1.1_XM_001625254.3	Ubtfl1/Ubtf	""	HMGbox_Sox.HG1.55:TFAM/UBTFL1	HMG_box/HMG_box
Nvec_vc1.1_XM_048725617.1	""	""	HMGbox_Sox.HG1.57:like:HMG20A/HMG20B	HMG_box/zf-met
Nvec_vc1.1_XM_048726835.1	""	""	HMGbox_Sox.HG1.62:like:NSD2	HMG_box
Nvec_vc1.1_XM_048721452.1	Wdhd1	""	HMGbox_Sox.HG1.62:like:NSD2	WD40/WD40/Mcl1_mid/HMG_box
Nvec_vc1.1_XM_048734675.1	""	""	HMGbox_Sox.HG1.62:like:NSD2	HMG_box
Nvec_vc1.1_XM_032364225.2	""	""	HMGbox_Sox.HG1.64:like:HMG20B	HMG_box
Nvec_vc1.1_XM_032366739.2	""	""	HMGbox_Sox.HG1.65:HMG20B	HMG_box
Nvec_vc1.1_XM_032376267.2	Hbp1	""	HMGbox_Sox.HG1.7:HBP1	AXH/HMG_box
Nvec_vc1.1_XM_048724840.1	Cstf1	""	Homeodomains.HG1.11:like:AC004080.3/AC012531.3/BARHL1/BARHL2/BARX1/BARX2/BSX/CDX1/CDX2/CDX4/DBX1/DBX2/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HHEX/HLX/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/LBX1/LBX2/MEOX1/MEOX2/MNX1/MSX1/MSX2/NANOG/NANOGP8/NKX1-1/NKX1-2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2/VENTX	Homeodomain
Nvec_vc1.1_XM_001641032.3	Nanog	""	Homeodomains.HG1.18:NANOG/NANOGP8	Homeodomain
Nvec_vc1.1_XM_048723265.1	""	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_032373617.2	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_032373618.2	Nkx2-2/Nkx2-9	Nkx-2.2a	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_001625997.3	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_001625998.3	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_032362379.2	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_001632367.3	Nkx3-2	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_001632368.2	""	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_032362346.2	Hlx	""	Homeodomains.HG1.21:BARX1/BARX2/BSX/DBX1/DBX2/HLX	Homeodomain
Nvec_vc1.1_XM_032383925.2	Hlx	""	Homeodomains.HG1.21:BARX1/BARX2/BSX/DBX1/DBX2/HLX	Homeodomain
Nvec_vc1.1_XM_032366979.2	Hlx	""	Homeodomains.HG1.21:BARX1/BARX2/BSX/DBX1/DBX2/HLX	Homeodomain
Nvec_vc1.1_XM_032364605.2	""	""	Homeodomains.HG1.21:BARX1/BARX2/BSX/DBX1/DBX2/HLX	Homeodomain
Nvec_vc1.1_XM_032374853.2	""	""	Homeodomains.HG1.21:BARX1/BARX2/BSX/DBX1/DBX2/HLX	Homeodomain
Nvec_vc1.1_XM_032374864.2	""	""	Homeodomains.HG1.21:BARX1/BARX2/BSX/DBX1/DBX2/HLX	Homeodomain
Nvec_vc1.1_XM_032366665.2	""	""	Homeodomains.HG1.21:BARX1/BARX2/BSX/DBX1/DBX2/HLX	Homeodomain
Nvec_vc1.1_XM_032385045.2	Barx2/Barx1	""	Homeodomains.HG1.21:BARX1/BARX2/BSX/DBX1/DBX2/HLX	Homeodomain
Nvec_vc1.1_XM_048724756.1	""	""	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	Homeodomain
Nvec_vc1.1_XM_032378779.2	""	""	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	Homeodomain
Nvec_vc1.1_XM_048730743.1	""	""	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	Homeodomain
Nvec_vc1.1_XM_032378769.2	""	""	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	Homeodomain
Nvec_vc1.1_XM_032363874.2	""	""	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	Homeodomain
Nvec_vc1.1_XM_032363920.2	""	""	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	Homeodomain
Nvec_vc1.1_XM_048728853.1	""	""	Homeodomains.HG1.24:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	Homeodomain
Nvec_vc1.1_XM_032378000.2	""	""	Homeodomains.HG1.27:like:AC004080.3/AC012531.3/BARHL1/BARHL2/CDX1/CDX2/CDX4/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/MSX1/MSX2/NKX1-1/NKX1-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2	Homeodomain
Nvec_vc1.1_XM_032383663.2	""	""	Homeodomains.HG1.27:like:AC004080.3/AC012531.3/BARHL1/BARHL2/CDX1/CDX2/CDX4/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/MSX1/MSX2/NKX1-1/NKX1-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2	Homeodomain
Nvec_vc1.1_XM_032372904.2	""	""	Homeodomains.HG1.27:like:AC004080.3/AC012531.3/BARHL1/BARHL2/CDX1/CDX2/CDX4/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/MSX1/MSX2/NKX1-1/NKX1-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2	Homeodomain
Nvec_vc1.1_XM_032372903.2	""	""	Homeodomains.HG1.27:like:AC004080.3/AC012531.3/BARHL1/BARHL2/CDX1/CDX2/CDX4/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/MSX1/MSX2/NKX1-1/NKX1-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2	Homeodomain
Nvec_vc1.1_XM_032381099.2	""	""	Homeodomains.HG1.27:like:AC004080.3/AC012531.3/BARHL1/BARHL2/CDX1/CDX2/CDX4/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/MSX1/MSX2/NKX1-1/NKX1-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2	Homeodomain
Nvec_vc1.1_XM_032380001.2	""	""	Homeodomains.HG1.27:like:AC004080.3/AC012531.3/BARHL1/BARHL2/CDX1/CDX2/CDX4/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/MSX1/MSX2/NKX1-1/NKX1-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2	Homeodomain
Nvec_vc1.1_XM_032364784.2	Hhex	Hhex	Homeodomains.HG1.28:HHEX	Homeodomain
Nvec_vc1.1_XM_001634715.3	Lbx1	Lbx	Homeodomains.HG1.29:LBX1/LBX2	Homeodomain
Nvec_vc1.1_XM_032363350.2	Dlx4/Dlx1/Dlx3/Dlx6/Dlx2/Dlx5	""	Homeodomains.HG1.31:DLX1/DLX2/DLX3/DLX4/DLX5/DLX6	Homeodomain
Nvec_vc1.1_XM_032366211.2	Hmx1/Hmx3	""	Homeodomains.HG1.34:HMX1/HMX2/HMX3	Homeodomain
Nvec_vc1.1_XM_032370011.2	""	""	Homeodomains.HG1.37:NKX6-1/NKX6-2/NKX6-3	Homeodomain
Nvec_vc1.1_XM_032370013.2	""	""	Homeodomains.HG1.37:NKX6-1/NKX6-2/NKX6-3	Homeodomain
Nvec_vc1.1_XM_032364121.2	""	""	Homeodomains.HG1.39:BARHL1/BARHL2	Homeodomain
Nvec_vc1.1_XM_032384965.2	""	BarH-Like3	Homeodomains.HG1.39:BARHL1/BARHL2	Homeodomain
Nvec_vc1.1_XM_032379688.2	""	NVHD033-ANTP	Homeodomains.HG1.39:BARHL1/BARHL2	Homeodomain
Nvec_vc1.1_XM_001640781.3	Nkx1-1/Nkx1-2	""	Homeodomains.HG1.41:NKX1-1/NKX1-2	Homeodomain
Nvec_vc1.1_XM_032377390.2	Vax2/Vax1	""	Homeodomains.HG1.42:VAX1/VAX2	Homeodomain
Nvec_vc1.1_XM_032377358.2	""	VAx-EMX-Like	Homeodomains.HG1.42:VAX1/VAX2	Homeodomain
Nvec_vc1.1_XM_032375107.2	Emx1/Emx2	""	Homeodomains.HG1.44:EMX1/EMX2	Homeodomain
Nvec_vc1.1_XM_032366085.2	Emx1/Emx2	""	Homeodomains.HG1.44:EMX1/EMX2	Homeodomain
Nvec_vc1.1_XM_032367023.2	""	""	Homeodomains.HG1.47:like:MSX1/MSX2	Homeodomain
Nvec_vc1.1_XM_001641552.3	""	""	Homeodomains.HG1.47:like:MSX1/MSX2	Homeodomain
Nvec_vc1.1_XM_032366210.2	Msx2/Msx1/Msx3	""	Homeodomains.HG1.48:MSX1/MSX2	Homeodomain
Nvec_vc1.1_XM_032366609.2	Noto	""	Homeodomains.HG1.49:like:NOTO	Homeodomain
Nvec_vc1.1_XM_001630519.3	Noto	""	Homeodomains.HG1.49:like:NOTO	Homeodomain
Nvec_vc1.1_XM_032377135.2	Noto	""	Homeodomains.HG1.49:like:NOTO	Homeodomain
Nvec_vc1.1_XM_048727718.1	""	""	Homeodomains.HG1.5:like:AC004080.3/AC012531.3/BARHL1/BARHL2/BARX1/BARX2/BSX/CDX1/CDX2/CDX4/DBX1/DBX2/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HHEX/HLX/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/LBX1/LBX2/MEOX1/MEOX2/MNX1/MSX1/MSX2/NANOG/NANOGP8/NKX1-1/NKX1-2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2/VENTX	Homeodomain
Nvec_vc1.1_XM_001625768.3	""	""	Homeodomains.HG1.5:like:AC004080.3/AC012531.3/BARHL1/BARHL2/BARX1/BARX2/BSX/CDX1/CDX2/CDX4/DBX1/DBX2/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HHEX/HLX/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/LBX1/LBX2/MEOX1/MEOX2/MNX1/MSX1/MSX2/NANOG/NANOGP8/NKX1-1/NKX1-2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2/VENTX	Homeodomain
Nvec_vc1.1_XM_048731755.1	""	""	Homeodomains.HG1.5:like:AC004080.3/AC012531.3/BARHL1/BARHL2/BARX1/BARX2/BSX/CDX1/CDX2/CDX4/DBX1/DBX2/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HHEX/HLX/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/LBX1/LBX2/MEOX1/MEOX2/MNX1/MSX1/MSX2/NANOG/NANOGP8/NKX1-1/NKX1-2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2/VENTX	Homeodomain
Nvec_vc1.1_XM_048733551.1	""	""	Homeodomains.HG1.5:like:AC004080.3/AC012531.3/BARHL1/BARHL2/BARX1/BARX2/BSX/CDX1/CDX2/CDX4/DBX1/DBX2/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HHEX/HLX/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/LBX1/LBX2/MEOX1/MEOX2/MNX1/MSX1/MSX2/NANOG/NANOGP8/NKX1-1/NKX1-2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2/VENTX	Homeodomain
Nvec_vc1.1_XM_032383681.2	""	""	Homeodomains.HG1.51:like:AC004080.3/AC012531.3/CDX1/CDX2/CDX4/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/PDX1	Homeodomain
Nvec_vc1.1_XM_032383695.2	Evx1/Evx2	""	Homeodomains.HG1.52:EVX1/EVX2	Homeodomain
Nvec_vc1.1_XM_032383693.2	""	""	Homeodomains.HG1.53:MNX1	Homeodomain
Nvec_vc1.1_XM_032366836.2	""	""	Homeodomains.HG1.54:like:NOTO	Homeodomain
Nvec_vc1.1_XM_048724802.1	""	""	Homeodomains.HG1.55:like:EN1/EN2	Homeodomain
Nvec_vc1.1_XM_032371859.2	""	""	Homeodomains.HG1.56:like:EN1/EN2	Homeodomain
Nvec_vc1.1_XM_032383948.2	Gbx1/Gbx2	""	Homeodomains.HG1.57:GBX1/GBX2	Homeodomain
Nvec_vc1.1_XM_001634202.3	Hoxa1/Hoxb1/Hoxd1	Anthox6/Ax6	Homeodomains.HG1.58:HOXA1/HOXB1/HOXD1	Homeodomain
Nvec_vc1.1_XM_032364773.2	""	NOTO	Homeodomains.HG1.59:like:NOTO	Homeodomain
Nvec_vc1.1_XM_001641264.3	""	""	Homeodomains.HG1.61:NOTO	Homeodomain
Nvec_vc1.1_XM_001625898.3	""	""	Homeodomains.HG1.62:like:MEOX1/MEOX2	Homeodomain
Nvec_vc1.1_XM_032373497.2	""	""	Homeodomains.HG1.63:like:MEOX1/MEOX2	Homeodomain
