gene	deepTools_group	rank	gene_length	gene_name	common_name	og	pfam	gene_list
Nvec_vc1.1_XM_032380554.2	cluster_7	6112	14454	D3Ertd751e	""	""	ShK/ShK/ShK/ShK/ShK/ShK	""
Nvec_vc1.1_XM_032374032.2	cluster_7	6113	26665	Ccdc18	""	""	""	""
Nvec_vc1.1_XM_001637964.3	cluster_7	6114	2975	Rbm18	""	""	RRM_1	""
Nvec_vc1.1_XM_032385731.2	cluster_7	6115	4635	Prpf18	""	""	PRP4/Prp18	""
Nvec_vc1.1_XM_001638008.3	cluster_7	6116	10160	Vps35	""	""	Vps35	""
Nvec_vc1.1_XM_048732851.1	cluster_7	6117	3995	""	""	""	""	""
Nvec_vc1.1_XM_001636770.3	cluster_7	6118	2930	""	""	""	FAM124	""
Nvec_vc1.1_XM_001640191.3	cluster_7	6119	10824	Gpkow	""	""	G-patch_2	""
Nvec_vc1.1_XM_032378350.2	cluster_7	6120	21428	Tasor	""	""	DUF3715	""
Nvec_vc1.1_XM_032380354.2	cluster_7	6121	10948	Gm20696/Eif4e3	""	""	IF4E	""
Nvec_vc1.1_XM_032365765.2	cluster_7	6122	5432	Galnt6/Galnt12/Galnt3/Galnt4	""	""	Ricin_B_lectin	""
Nvec_vc1.1_XM_001633274.3	cluster_7	6123	2490	Siva1	""	""	Siva	""
Nvec_vc1.1_XM_032366445.2	cluster_7	6124	2003	Asdurf	""	""	""	""
Nvec_vc1.1_XM_048727006.1	cluster_7	6125	4983	Bud23	""	""	Methyltransf_11/WBS_methylT	""
Nvec_vc1.1_XM_032381885.2	cluster_7	6126	3404	Tspo/Tspo2	""	""	TspO_MBR	""
Nvec_vc1.1_XM_032385723.2	cluster_7	6127	20660	Eea1	""	""	FYVE	""
Nvec_vc1.1_XM_032372083.2	cluster_7	6128	10622	Dnajc3	""	""	TPR_16/TPR_16/TPR_8/DnaJ	""
Nvec_vc1.1_XM_001640977.3	cluster_7	6129	6970	Nop58	""	""	NOP5NT/Nop	""
Nvec_vc1.1_XM_048725305.1	cluster_7	6130	5532	Aqp9/Aqp3/Aqp7	""	""	MIP	""
Nvec_vc1.1_XM_048732862.1	cluster_7	6131	11801	""	""	""	SAP130_C	""
Nvec_vc1.1_XM_032364615.2	cluster_7	6132	7757	""	""	""	His_Phos_2	""
Nvec_vc1.1_XM_032374560.2	cluster_7	6133	3015	Glt28d2	""	""	Glyco_tran_28_C	""
Nvec_vc1.1_XM_032364313.2	cluster_7	6134	2015	""	""	""	adh_short	""
Nvec_vc1.1_XM_001635176.3	cluster_7	6135	7266	Npm2/Npm1/Npm3	""	""	Nucleoplasmin	""
Nvec_vc1.1_XM_048728353.1	cluster_7	6136	20070	Ercc4	""	""	ERCC4	""
Nvec_vc1.1_XM_032367589.2	cluster_7	6137	6567	""	""	""	""	""
Nvec_vc1.1_XM_032373058.2	cluster_7	6138	38296	Tiam1/Tiam2	""	""	WH1/PH/Tiam_CC_Ex/RBD/PDZ/RhoGEF	""
Nvec_vc1.1_XM_048721099.1	cluster_7	6139	3573	Pdcd5	""	""	dsDNA_bind	""
Nvec_vc1.1_XM_048728768.1	cluster_7	6140	10522	Ruvbl2	""	""	TIP49/TIP49_C	""
Nvec_vc1.1_XM_048726141.1	cluster_7	6141	12076	""	""	""	FERM_N/FERM_M/FERM_C/ERM	""
Nvec_NVE4788	cluster_7	6142	4443	""	""	""	""	""
Nvec_vc1.1_XM_001628608.3	cluster_7	6143	8150	Polr2c	""	""	RNA_pol_L/RNA_pol_A_bac	""
Nvec_vc1.1_XM_032381241.2	cluster_7	6144	8949	Isyna1	""	""	NAD_binding_5/Inos-1-P_synth	""
Nvec_vc1.1_XM_001638074.3	cluster_7	6145	2902	Ak6/Taf9b/Taf9	""	""	TFIID-31kDa	""
Nvec_vc1.1_XM_032384416.2	cluster_7	6146	5424	Ccnt2/Ccnt1	""	""	Cyclin_N	""
Nvec_vc1.1_XM_001629640.3	cluster_7	6147	4408	Armc6	""	""	""	""
Nvec_vc1.1_XM_048734183.1	cluster_7	6148	15684	Gclc	""	""	GCS	""
Nvec_vc1.1_XM_032376782.2	cluster_7	6149	3391	Psme3ip1	""	""	FAM192A_Fyv6_N	""
Nvec_vc1.1_XM_032377769.2	cluster_7	6150	3104	Simc1	""	""	""	""
Nvec_vc1.1_XM_001640714.3	cluster_7	6151	2934	Mutyh	""	""	HhH-GPD/NUDIX_4	""
Nvec_vc1.1_XM_032382528.2	cluster_7	6152	3385	""	""	""	CARD/Peptidase_C14	""
Nvec_vc1.1_XM_048731127.1	cluster_7	6153	12886	""	""	""	Band_7	""
Nvec_vc1.1_XM_048726902.1	cluster_7	6154	5191	""	""	""	Metallopep/Jacalin	""
Nvec_vc1.1_XM_032374631.2	cluster_7	6155	4829	Slc30a1	""	""	Cation_efflux	""
Nvec_vc1.1_XM_001625947.2	cluster_7	6156	8776	Atp6v0d2/Atp6v0d1	""	""	vATP-synt_AC39	""
Nvec_vc1.1_XM_032380157.2	cluster_7	6157	6765	Glt1d1	""	""	Glycos_transf_1	""
Nvec_vc1.1_XM_001627502.3	cluster_7	6158	2165	Fam210b	""	""	DUF1279	""
Nvec_vc1.1_XM_001633231.3	cluster_7	6159	5340	Mdh1	""	""	Ldh_1_N/Ldh_1_C	""
Nvec_vc1.1_XM_032385383.2	cluster_7	6160	8672	Incenp	""	""	INCENP_ARK-bind	""
Nvec_vc1.1_XM_032372812.2	cluster_7	6161	4722	Fam174b/Fam174a	""	""	DUF1180	""
Nvec_vc1.1_XM_048720774.1	cluster_7	6162	32071	Dsc1/Cdh1/Cdh4/Cdh26/Cdh15/Cdh13/Cdh2/Dsc2/Dsc3/Cdh3/Cdh18/Cdh7/Cdh8/Cdh20	Cdh3	""	Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Laminin_G_2/Laminin_G_2/Cadherin_C	""
Nvec_vc1.1_XM_032377839.2	cluster_7	6163	13672	Cd27/Tnfrsf1a/Tnfrsf11b/Cd40/Tnfrsf1b/Tnfrsf11a	""	""	TNFR_c6/TNFR_c6/TNFR_c6/Death	""
Nvec_vc1.1_XM_048726314.1	cluster_7	6164	11134	Nfyc	""	""	Histone	""
Nvec_vc1.1_XM_032376192.2	cluster_7	6165	8024	Mier1/Mier3/Mier2	""	""	ELM2	""
Nvec_vc1.1_XM_048727235.1	cluster_7	6166	22538	""	""	""	CH	""
Nvec_vc1.1_XM_001635934.3	cluster_7	6167	2043	""	""	""	Mito_carr/Mito_carr/Mito_carr	""
Nvec_vc1.1_XM_032386611.2	cluster_7	6168	3319	Lin28b/Lin28a	""	""	CSD/zf-CCHC/zf-CCHC	""
Nvec_vc1.1_XM_032373664.2	cluster_7	6169	5945	Trim45	""	""	zf-C3HC4/Filamin	""
Nvec_vc1.1_XM_032382502.2	cluster_7	6170	13458	""	""	""	zf-C3HC4_3/zf-TRAF/zf-TRAF	""
Nvec_vc1.1_XM_032363201.2	cluster_7	6171	18274	Slc12a8	""	""	AA_permease	""
Nvec_vc1.1_XM_032365792.2	cluster_7	6172	5768	Wdr74	""	""	WD40	""
Nvec_vc1.1_XM_048731356.1	cluster_7	6173	11421	Aste1	""	""	XPG_N/XPG_I_2	""
Nvec_vc1.1_XM_048731098.1	cluster_7	6174	10710	Klrh1	""	""	Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Lectin_C	""
Nvec_vc1.1_XM_048734370.1	cluster_7	6175	16217	Pidd1	""	""	AAA/TPR_12/TPR_12/ZU5/Death	""
Nvec_vc1.1_XM_048729305.1	cluster_7	6176	4391	""	""	""	gag-asp_proteas/RVT_1/RT_RNaseH/Integrase_H2C2/rve	""
Nvec_vc1.1_XM_048719478.1	cluster_7	6177	3910	Rnaseh2a	""	""	RNase_HII	""
Nvec_vc1.1_XM_032365006.2	cluster_7	6178	3607	""	""	""	FHA	""
Nvec_vc1.1_XM_048731970.1	cluster_7	6179	6629	""	""	""	Peptidase_M2	""
Nvec_vc1.1_XM_032379013.2	cluster_7	6180	15613	""	""	""	I-set/I-set/Ig_3/I-set/Ig_3/Ig_3/Ig_3/fn3/fn3/fn3	""
Nvec_vc1.1_XM_048730690.1	cluster_7	6181	6719	""	""	""	""	""
Nvec_vc1.1_XM_001639910.3	cluster_7	6182	3248	Tmem222	""	""	DUF778/DUF778	""
Nvec_vc1.1_XM_032380616.2	cluster_7	6183	11508	Gm12887/Gm12888/Ppt1/Gm12886	""	""	Palm_thioest	""
Nvec_vc1.1_XM_032374236.2	cluster_7	6184	15521	Amfr	""	""	zf-RING_2/CUE	""
Nvec_vc1.1_XM_001635702.3	cluster_7	6185	5591	Dusp8/Dusp16	""	""	Rhodanese/DSPc	""
Nvec_vc1.1_XM_032381571.2	cluster_7	6186	9356	""	""	""	Carb_anhydrase	""
Nvec_vc1.1_XM_001629522.3	cluster_7	6187	4591	Nip7	""	""	UPF0113_N/UPF0113	""
Nvec_vc1.1_XM_048729723.1	cluster_7	6188	16375	Cct4	""	""	Cpn60_TCP1	""
Nvec_vc1.1_XM_048730022.1	cluster_7	6189	13529	""	""	""	RNase_T	""
Nvec_vc1.1_XM_048723552.1	cluster_7	6190	20244	Cps1	""	""	CPSase_sm_chain/GATase/CPSase_L_D2/CPSase_L_D3/CPSase_L_D2/MGS	""
Nvec_vc1.1_XM_001626708.2	cluster_7	6191	5017	""	""	""	Usp	""
Nvec_vc1.1_XM_048732354.1	cluster_7	6192	5692	""	""	""	""	""
Nvec_vc1.1_XM_048720194.1	cluster_7	6193	9977	""	""	""	LRR_9	""
Nvec_vc1.1_XM_032373063.2	cluster_7	6194	7219	""	""	""	GST_N_3/GST_C	""
Nvec_vc1.1_XM_001625703.3	cluster_7	6195	7745	Rad23a/Rad23b	""	""	ubiquitin/UBA/XPC-binding/UBA	""
Nvec_vc1.1_XM_032377067.2	cluster_7	6196	6044	""	""	""	Bcl-2	""
Nvec_vc1.1_XM_032377001.2	cluster_7	6197	9121	Plb1	""	""	""	""
Nvec_vc1.1_XM_032385559.2	cluster_7	6198	21037	Cdk14/Cdk15	""	""	Pkinase	""
Nvec_vc1.1_XM_032373994.2	cluster_7	6199	5592	Mtx2	""	""	Tom37/GST_C_6	""
Nvec_vc1.1_XM_048730753.1	cluster_7	6200	4492	Polr2i	""	""	RNA_POL_M_15KD/TFIIS_C	""
Nvec_vc1.1_XM_001626383.3	cluster_7	6201	3192	1700109H08Rik/Clxn	""	""	EF-hand_5/EF-hand_7	""
Nvec_vc1.1_XM_032365787.2	cluster_7	6202	8310	""	""	""	Cadherin-like/Cadherin-like	""
Nvec_vc1.1_XM_001623755.3	cluster_7	6203	9269	Lap3	""	""	Peptidase_M17_N/Peptidase_M17	""
Nvec_vc1.1_XM_032379663.2	cluster_7	6204	8475	4933430I17Rik	""	""	""	""
Nvec_vc1.1_XM_032374703.2	cluster_7	6205	3758	Gan	""	""	BTB/BACK/Kelch_1/Kelch_1/Kelch_1/Kelch_1/Kelch_1	""
Nvec_vc1.1_XM_001641228.3	cluster_7	6206	2304	Tmem170/Tmem170b	""	""	Tmemb_170	""
Nvec_vc1.1_XM_032373978.2	cluster_7	6207	2063	""	""	""	UPF0449	""
Nvec_vc1.1_XM_048728401.1	cluster_7	6208	2131	""	""	""	""	""
Nvec_vc1.1_XM_032383888.2	cluster_7	6209	13479	Wdr75	""	""	WD40	""
Nvec_vc1.1_XM_032380956.2	cluster_7	6210	5286	""	""	""	RRM_1/RRM_1	""
Nvec_vc1.1_XM_032387379.2	cluster_7	6211	4243	""	""	""	""	""
Nvec_vc1.1_XM_048727038.1	cluster_7	6212	7658	Ccdc65	""	""	NYD-SP28/NYD-SP28_assoc	""
Nvec_vc1.1_XM_032372000.2	cluster_7	6213	7151	Vti1a	""	""	V-SNARE/V-SNARE_C	""
Nvec_vc1.1_XM_048728495.1	cluster_7	6214	7951	""	""	""	Gelsolin/Gelsolin/Gelsolin	""
Nvec_vc1.1_XM_032379406.2	cluster_7	6215	11438	Pan3	""	""	zf-CCCH/Pan3_PK	""
Nvec_vc1.1_XM_032380528.2	cluster_7	6216	8292	Ptpn11/Ptpn6	""	""	SH2/SH2/Y_phosphatase	""
Nvec_vc1.1_XM_001632412.3	cluster_7	6217	22157	Ttll10	""	""	TTL	""
Nvec_vc1.1_XM_032386474.2	cluster_7	6218	14424	Tm9sf4	""	""	EMP70	""
Nvec_vc1.1_XM_032366487.2	cluster_7	6219	3955	""	""	""	2OG-FeII_Oxy_3	""
Nvec_vc1.1_XM_048725749.1	cluster_7	6220	13772	""	""	""	Peptidase_M13_N/Peptidase_M13	""
Nvec_vc1.1_XM_001633424.3	cluster_7	6221	5501	Spmip4	""	""	DUF4555	""
Nvec_vc1.1_XM_032361930.2	cluster_7	6222	5963	Uspl1	""	""	Peptidase_C98	""
Nvec_vc1.1_XM_001623557.3	cluster_7	6223	4895	Prpf38a	""	""	PRP38	""
Nvec_vc1.1_XM_001641526.3	cluster_7	6224	6038	""	""	""	SH3BP5	""
Nvec_vc1.1_XM_048721124.1	cluster_7	6225	14266	Prorp	""	""	PPR_long/PRORP	""
Nvec_vc1.1_XM_032370671.2	cluster_7	6226	13584	Snx8	""	""	PX	""
Nvec_vc1.1_XM_032375797.2	cluster_7	6227	6574	""	""	""	ACBP/Ank_2	""
Nvec_vc1.1_XM_048733537.1	cluster_7	6228	17141	Tdrd3	""	""	RMI1_N	""
Nvec_vc1.1_XM_048719740.1	cluster_7	6229	66185	Ints1	""	""	DUF3677	""
Nvec_vc1.1_XM_048723140.1	cluster_7	6230	27316	Mical2/Mical3	""	""	FAD_binding_2/CH/LIM/DUF3585	""
Nvec_vc1.1_XM_048729671.1	cluster_7	6231	12003	Dhx15	""	""	Helicase_C/HA2/OB_NTP_bind	""
Nvec_vc1.1_XM_001639528.3	cluster_7	6232	5284	Cib4	""	""	EF-hand_7	""
Nvec_vc1.1_XM_048731205.1	cluster_7	6233	4412	Hs2st1	""	""	Sulfotransfer_2	""
Nvec_vc1.1_XM_032386357.2	cluster_7	6234	9587	Srebf2/Srebf1	""	HLH.HG1.25:SREBF1/SREBF2	HLH	tfs
Nvec_vc1.1_XM_048729157.1	cluster_7	6235	14628	Nat10	""	""	DUF1726/Helicase_RecD/GNAT_acetyltr_2/tRNA_bind_2	""
Nvec_vc1.1_XM_048730070.1	cluster_7	6236	26937	Togaram2/Togaram1	""	""	CLASP_N	""
Nvec_vc1.1_XM_032384787.2	cluster_7	6237	21639	Inpp5f	""	""	Syja_N/hSac2	""
Nvec_vc1.1_XM_001629422.3	cluster_7	6238	11314	""	""	""	Ephrin_rec_like	""
Nvec_vc1.1_XM_032380268.2	cluster_7	6239	10866	Cyrib/Cyria	""	""	DUF1394	""
Nvec_vc1.1_XM_032376545.2	cluster_7	6240	14176	Iws1	""	""	Med26	""
Nvec_vc1.1_XM_001642012.3	cluster_7	6241	6042	Adar	""	""	z-alpha/dsrm/A_deamin	""
Nvec_vc1.1_XM_001637768.3	cluster_7	6242	6748	Shd/Shf/She/Shb	""	""	SH2	""
Nvec_vc1.1_XM_001628897.3	cluster_7	6243	8318	Mki67	""	""	FHA/PP1_bind	""
Nvec_vc1.1_XM_001635107.3	cluster_7	6244	4618	Mtpn	""	""	Ank_2	""
Nvec_vc1.1_XM_001642002.3	cluster_7	6245	5869	Actl6a/Actl6b	""	""	Actin	""
Nvec_vc1.1_XM_001632746.3	cluster_7	6246	5323	Mb21d2/Tmem102	""	""	Mab-21	""
Nvec_vc1.1_XM_048728861.1	cluster_7	6247	9689	Plekha1/Plekha2	""	""	PH/PH	""
Nvec_vc1.1_XM_048724116.1	cluster_7	6248	36880	Nek10	""	""	Pkinase	""
Nvec_vc1.1_XM_032385059.2	cluster_7	6249	9571	""	""	""	SH2/Ank_2/SH2/Pkinase_Tyr	""
Nvec_vc1.1_XM_048725607.1	cluster_7	6250	11950	Rad54l	""	""	SNF2_N/Helicase_C	""
Nvec_vc1.1_XM_048723937.1	cluster_7	6251	21364	""	""	""	RhoGEF	""
Nvec_vc1.1_XM_048732268.1	cluster_7	6252	9852	Ddx24	""	""	DEAD/Helicase_C	""
Nvec_vc1.1_XM_032363891.2	cluster_7	6253	6196	""	""	""	COesterase	""
Nvec_vc1.1_XM_001636392.3	cluster_7	6254	6716	""	""	""	""	""
Nvec_vc1.1_XM_001627011.3	cluster_7	6255	9320	Kifc1/Kifc5b	""	""	Kinesin	""
Nvec_vc1.1_XM_048733227.1	cluster_7	6256	6328	Ppat	""	""	GATase_6/Pribosyltran	""
Nvec_vc1.1_XM_048719468.1	cluster_7	6257	14533	Cyth4/Cyth1//Cyth3	""	""	Sec7/PH	""
Nvec_vc1.1_XM_048734267.1	cluster_7	6258	29766	Sorbs1/Sorbs3/Sorbs2	""	""	PDZ/SH3_9/SH3_1/SH3_9	""
Nvec_vc1.1_XM_032365680.2	cluster_7	6259	4451	Cox6b1/Cox6b2	""	""	COX6B	""
Nvec_vc1.1_XM_001633508.3	cluster_7	6260	5645	""	""	zf-C2H2.HG1.3:ZBTB3	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_6/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	tfs
Nvec_vc1.1_XM_032381212.2	cluster_7	6261	6256	Zfpl1/Gm28374	""	""	""	""
Nvec_vc1.1_XM_001626888.3	cluster_7	6262	6793	Pdcd10	""	""	DUF1241	""
Nvec_vc1.1_XM_048725400.1	cluster_7	6263	5690	""	""	""	""	""
Nvec_vc1.1_XM_032372917.2	cluster_7	6264	9089	Dazap1	""	""	RRM_1/RRM_1	""
Nvec_vc1.1_XM_032384660.2	cluster_7	6265	12070	Dnai7	""	""	Casc1_N	""
Nvec_vc1.1_XM_048723827.1	cluster_7	6266	5701	Ube2z	""	""	UQ_con	""
Nvec_vc1.1_XM_048729658.1	cluster_7	6267	20962	Gnl3l	""	""	GN3L_Grn1/MMR_HSR1	""
Nvec_vc1.1_XM_048722841.1	cluster_7	6268	2500	Mc1r//Mc4r/Mc2r/Mc3r	""	""	7tm_1	""
Nvec_vc1.1_XM_048734515.1	cluster_7	6269	3154	Ky	""	""	CAP_GLY/Transglut_core	""
Nvec_vc1.1_XM_048730141.1	cluster_7	6270	12367	""	""	""	AcetylCoA_hydro/AcetylCoA_hyd_C	""
Nvec_vc1.1_XM_001638979.3	cluster_7	6271	1980	Mrpl55	""	""	Mitoc_L55	""
Nvec_vc1.1_XM_048720899.1	cluster_7	6272	26882	Wwp2	""	""	C2/WW/WW/WW/WW/HECT	""
Nvec_vc1.1_XM_048721652.1	cluster_7	6273	6896	Rpf2	""	""	Brix	""
Nvec_vc1.1_XM_001628095.3	cluster_7	6274	7906	Sptlc1	""	""	Aminotran_1_2	""
Nvec_vc1.1_XM_032364759.2	cluster_7	6275	4902	Pign	""	""	Phosphodiest/PigN	""
Nvec_vc1.1_XM_001623763.3	cluster_7	6276	5534	Maea	""	""	CLTH	""
Nvec_vc1.1_XM_048734108.1	cluster_7	6277	20409	Ofcc1	""	""	""	""
Nvec_vc1.1_XM_032367579.2	cluster_7	6278	8349	Rbpms2/Rbpms	""	""	RRM_1/RRM_1	""
Nvec_vc1.1_XM_032373902.2	cluster_7	6279	11736	Zcchc4	""	""	zf-GRF/N6-adenineMlase	""
Nvec_vc1.1_XM_032370310.2	cluster_7	6280	4653	""	""	""	EF-hand_7/EF-hand_7/EF-hand_7	""
Nvec_vc1.1_XM_048724357.1	cluster_7	6281	9805	Tgfbr3l	""	""	Zona_pellucida	""
Nvec_vc1.1_XM_001639516.3	cluster_7	6282	2424	Rplp2/Rplp2-ps1	""	""	Ribosomal_60s	""
Nvec_vc1.1_XM_048722835.1	cluster_7	6283	9384	""	""	""	HEPN_DZIP3/Roc/COR/Death	""
Nvec_vc1.1_XM_048722532.1	cluster_7	6284	17385	Tmtc2	""	""	DUF1736/TPR_12/TPR_16/TPR_19/TPR_16	""
Nvec_vc1.1_XM_032382156.2	cluster_7	6285	5132	""	""	""	Ras	""
Nvec_vc1.1_XM_001640556.3	cluster_7	6286	6551	Gm49721/Rnaset2a/Rnaset2b/Gm49673	""	""	Ribonuclease_T2	""
Nvec_vc1.1_XM_048731322.1	cluster_7	6287	24895	Nup214	""	""	""	""
Nvec_vc1.1_XM_032377986.2	cluster_7	6288	11725	""	""	""	""	""
Nvec_vc1.1_XM_001634373.3	cluster_7	6289	6603	Srm	""	""	Spermine_synt_N/Spermine_synth	""
Nvec_vc1.1_XM_001628691.3	cluster_7	6290	6506	Tpd52/Trpd52l3/Tpd52l2/Tpd52l1	""	""	TPD52/TPD52	""
Nvec_vc1.1_XM_001637770.3	cluster_7	6291	7974	Sugp1	""	""	G-patch	""
Nvec_vc1.1_XM_001629700.3	cluster_7	6292	6780	Tmem120a/Tmem120b	""	""	TMPIT	""
Nvec_vc1.1_XM_032380837.2	cluster_7	6293	11449	""	""	""	Tetraspanin	""
Nvec_vc1.1_XM_001636361.3	cluster_7	6294	11989	Gdi2/Gdi1	""	""	GDI	""
Nvec_vc1.1_XM_032375315.2	cluster_7	6295	19670	Top1/Top1mt	""	""	Topoisom_I_N/Topoisom_I/Topo_C_assoc	""
Nvec_vc1.1_XM_001639414.3	cluster_7	6296	16160	Trmt2a/Trmt2b	""	""	tRNA_U5-meth_tr	""
Nvec_vc1.1_XM_032374219.2	cluster_7	6297	19115	Rhpn1/Rhpn2	""	""	HR1/BRO1/PDZ	""
Nvec_vc1.1_XM_032364708.2	cluster_7	6298	46036	Fuz	""	""	Fuz_longin_1/Fuz_longin_2/Fuz_longin_3	""
Nvec_vc1.1_XM_048721266.1	cluster_7	6299	7315	Gpd1/Gpd1l	""	""	NAD_Gly3P_dh_N/NAD_Gly3P_dh_C	""
Nvec_vc1.1_XM_048725880.1	cluster_7	6300	11076	Srrm3/Srrm2	""	""	cwf21	""
Nvec_vc1.1_XM_032365386.2	cluster_7	6301	12464	Fbxl13	""	""	F-box-like/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6	""
Nvec_vc1.1_XM_001635979.3	cluster_7	6302	30565	""	""	""	""	""
Nvec_vc1.1_XM_001639481.3	cluster_7	6303	3443	Hpgds	""	""	GST_N/GST_C_3	""
Nvec_vc1.1_XM_032383110.2	cluster_7	6304	5946	Sgcb	""	""	Sarcoglycan_1	""
Nvec_vc1.1_XM_001635878.2	cluster_7	6305	4861	Wasl/Was	""	""	WH1/PBD/WH2/WH2	""
Nvec_vc1.1_XM_048730914.1	cluster_7	6306	39186	Sec16a/Sec16b	""	""	Sec16_C	""
Nvec_vc1.1_XM_048730775.1	cluster_7	6307	46434	Ccdc88c/Ccdc88a/Ccdc88b	""	""	HOOK_N	""
Nvec_vc1.1_XM_048720422.1	cluster_7	6308	14184	Slc5a3	""	""	SSF	""
Nvec_vc1.1_XM_032383644.2	cluster_7	6309	26930	""	""	""	Collagen/Collagen/Collagen/Collagen/COLFI	""
Nvec_vc1.1_XM_001636699.3	cluster_7	6310	8028	Cmtr2	""	""	FtsJ/FtsJ	""
Nvec_vc1.1_XM_048728349.1	cluster_7	6311	12921	Ccdc78	""	""	Kinesin/DUF4472	""
Nvec_vc1.1_XM_032386420.2	cluster_7	6312	6893	Lrrc43	""	""	""	""
Nvec_vc1.1_XM_001628187.3	cluster_7	6313	4426	Caap1	""	""	CAAP1	""
Nvec_vc1.1_XM_032374122.2	cluster_7	6314	21049	Scnn1b/Scnn1a/Scnn1g	""	""	ASC	""
Nvec_vc1.1_XM_001635454.3	cluster_7	6315	3282	Trappc4	""	""	Sybindin	""
Nvec_vc1.1_XM_048725783.1	cluster_7	6316	19401	""	""	""	PLAT/PLAT/PLAT/F5_F8_type_C	""
Nvec_vc1.1_XM_001638533.3	cluster_7	6317	10011	Ddx19b/Ddx19a/Ddx25	""	""	DEAD/Helicase_C	""
Nvec_vc1.1_XM_048720278.1	cluster_7	6318	4287	""	""	""	""	""
Nvec_vc1.1_XM_001631879.3	cluster_7	6319	9555	""	""	""	Glyco_hydro_63	""
Nvec_vc1.1_XM_048719762.1	cluster_7	6320	9929	""	""	""	Peptidase_C48	""
Nvec_vc1.1_XM_032362347.2	cluster_7	6321	8990	Tmem245	""	""	""	""
Nvec_vc1.1_XM_001628994.2	cluster_7	6322	4774	""	""	""	Noggin	""
Nvec_vc1.1_XM_032385514.2	cluster_7	6323	12908	""	""	""	CRAL_TRIO_N/CRAL_TRIO	""
Nvec_vc1.1_XM_032367767.2	cluster_7	6324	7042	Ppp4c	""	""	Metallophos	""
Nvec_vc1.1_XM_048721983.1	cluster_7	6325	9847	Ddhd1	""	""	DDHD	""
Nvec_vc1.1_XM_001624327.3	cluster_7	6326	8077	Echdc3	""	""	ECH_1	""
Nvec_vc1.1_XM_032376052.2	cluster_7	6327	22827	Ankef1	""	""	Ank_2/Ank_2/Ank_2/Ank_2	""
Nvec_vc1.1_XM_032384273.2	cluster_7	6328	12320	Btbd16	""	""	""	""
Nvec_vc1.1_XM_032382471.2	cluster_7	6329	29579	Sos1/Sos2	""	""	Histone/RhoGEF/PH/RasGEF_N/RasGEF	""
Nvec_vc1.1_XM_001638661.3	cluster_7	6330	3870	Yrdc	""	""	Sua5_yciO_yrdC	""
Nvec_vc1.1_XM_032377950.2	cluster_7	6331	10373	Ylpm1	""	""	AAA_33	""
Nvec_vc1.1_XM_032377701.2	cluster_7	6332	20865	Atad2/Atad2b	""	""	AAA/AAA_lid_3/Bromodomain	""
Nvec_vc1.1_XM_048729393.1	cluster_7	6333	3963	Ddrgk1	""	""	DDRGK	""
Nvec_vc1.1_XM_032386619.2	cluster_7	6334	8813	Tra2a/Tra2b	""	""	RRM_1	""
Nvec_vc1.1_XM_032381655.2	cluster_7	6335	5219	""	""	""	TNFR_c6	""
Nvec_vc1.1_XM_048728718.1	cluster_7	6336	26639	Adgrl1/Adgre4/Adgrl4//Adgre5/Adgrl3/Adgre1	""	""	Laminin_G_3/GAIN/GPS/7tm_2	""
Nvec_vc1.1_XM_001626692.3	cluster_7	6337	4425	Psmb1	""	""	Proteasome	""
Nvec_vc1.1_XM_001639363.3	cluster_7	6338	7067	Rsph4a	""	""	Radial_spoke	""
Nvec_vc1.1_XM_032366884.2	cluster_7	6339	10361	Wdr43	""	""	ANAPC4_WD40/Utp12	""
Nvec_vc1.1_XM_001637774.3	cluster_7	6340	2434	""	""	""	Cnl2_NKP2	""
Nvec_vc1.1_XM_032366070.2	cluster_7	6341	14759	Elapor2/Elapor1	""	""	""	""
Nvec_vc1.1_XM_048725447.1	cluster_7	6342	6871	Sap30bp	""	""	HCNGP	""
Nvec_vc1.1_XM_001632167.3	cluster_7	6343	3440	Gm49384/Pole2	""	""	Dpoe2NT/DNA_pol_E_B	""
Nvec_vc1.1_XM_032362238.2	cluster_7	6344	18501	Arhgap26/Arhgap42/Ophn1/Arhgap10	""	""	BAR_3/PH/RhoGAP/SH3_9	""
Nvec_vc1.1_XM_001631042.3	cluster_7	6345	3227	Rmi2	""	""	RMI2	""
Nvec_vc1.1_XM_032372092.2	cluster_7	6346	5867	Slc1a2/Slc1a1/Slc1a7/Slc1a6/Slc1a3/Slc1a4/Slc1a5	""	""	SDF	""
Nvec_vc1.1_XM_001630323.3	cluster_7	6347	3248	Tmem72	""	""	TMEM72	""
Nvec_vc1.1_XM_032373615.2	cluster_7	6348	4536	Tsn	""	""	Translin	""
Nvec_vc1.1_XM_001632237.3	cluster_7	6349	7057	Gpatch11	""	""	G-patch/DUF4187	""
